################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   1.9048451649873556E+01   1.0221564747534156E+01   1.6501029508214573E+00
         1          2   0.0000000000000000E+00   1.9125489159225847E+01   1.0275341786246067E+01   1.6594789196037116E+00
         1          3   0.0000000000000000E+00   1.8166535833208265E+01   9.6577390421488438E+00   1.5589750167154361E+00
         1          4   0.0000000000000000E+00   1.8905463646742504E+01   1.0171199724739639E+01   1.6483741123712334E+00
         1          5   0.0000000000000000E+00   1.6588692774402649E+01   8.5545733143729024E+00   1.3834014002880026E+00
         1          6   0.0000000000000000E+00   1.8439568902837038E+01   9.9492942450335651E+00   1.6255226853144964E+00
         1          7   0.0000000000000000E+00   1.4667800303588795E+01   7.2158033582957444E+00   1.1763513157026211E+00
         1          8   0.0000000000000000E+00   1.7784024546596299E+01   9.6393809797166305E+00   1.5953112290878175E+00
         1          9   0.0000000000000000E+00   1.2611082930217744E+01   5.8677160191513487E+00   9.7687631428370647E-01
         1         10   0.0000000000000000E+00   1.6983363337840643E+01   9.2646436682023161E+00   1.5610603355635841E+00
         1         11   0.0000000000000000E+00   1.7526717549724879E+01   8.9963559783665872E+00   1.5087262037360418E+00
         1         12   0.0000000000000000E+00   1.2693192905694406E+01   7.0173464428057519E+00   1.2413215595597182E+00
         1         13   0.0000000000000000E+00   1.6422686358687930E+01   8.0326020826056865E+00   1.4087030200375026E+00
         1         14   0.0000000000000000E+00   9.7112987762785590E+00   5.3663580272782365E+00   1.0116823472574867E+00
         1         15   0.0000000000000000E+00   1.4825418598337462E+01   6.6777930086807515E+00   1.2917195250827267E+00
         1         16   0.0000000000000000E+00   7.1742574143741971E+00   3.7325526972845036E+00   7.4784412855942028E-01
         1         17   0.0000000000000000E+00   1.2059108245851700E+01   4.5828165504963287E+00   1.1621326854684371E+00
         1         18   0.0000000000000000E+00   4.3057886156360174E+00   2.0792713569395906E+00   4.5707824167437450E-01
         1         19   0.0000000000000000E+00   3.8963891248179290E+00   5.2513723066119211E-01   3.1176242812589250E-01
         1         20   0.0000000000000000E+00   1.1956249113428655E+01   2.7226936916477800E+00   1.0493052178684208E+00
         1         21   0.0000000000000000E+00   2.9834704213454946E+00   3.8956311453446213E-01   2.5644321504683931E-01
         1         22   0.0000000000000000E+00   9.7346666162063791E+00   2.3708944653371846E+00   9.2777269399197726E-01
         1         23   0.0000000000000000E+00   3.5334850102994664E+00   4.5627905670994590E-01   2.7945624996274199E-01
         1         24   0.0000000000000000E+00   1.0763799385773401E+01   2.3722916740615876E+00   9.2426567422701422E-01
         1         25   0.0000000000000000E+00   2.7122564783970060E+00   3.3958274559541052E-01   2.3072006317902047E-01
         1         26   0.0000000000000000E+00   8.7576524104085731E+00   2.0688021497167863E+00   8.1712696757962722E-01
         1         27   0.0000000000000000E+00   9.0144578869260563E+00   1.1549670562663055E+00   5.3371913977295637E-01
         1         28   0.0000000000000000E+00   1.6496597006343698E+01   2.9677796874386786E+00   1.1338023991034123E+00
         1         29   0.0000000000000000E+00   4.7657304607363802E+00   5.9265701953818994E-01   3.3025520314400530E-01
         1         30   0.0000000000000000E+00   1.2247869580154033E+01   2.4054696507105642E+00   9.3526666177209294E-01
         1         31   0.0000000000000000E+00   8.1123934629614105E+00   9.8693612207755199E-01   4.7080201976371627E-01
         1         32   0.0000000000000000E+00   1.4767369317337682E+01   2.5574682195363079E+00   9.9510250706835357E-01
         1         33   0.0000000000000000E+00   4.3048982950504122E+00   5.0756932215140249E-01   2.9253667541915446E-01
         1         34   0.0000000000000000E+00   1.0959874149426696E+01   2.0781014196101584E+00   8.2024543611397416E-01
         1         35   0.0000000000000000E+00   7.3187969148195613E+00   8.4618586016902153E-01   4.1666434548458853E-01
