################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   2.3927937459327726E+01   1.0243624066627175E+01   1.5449177622036985E+00
         1          2   0.0000000000000000E+00   2.4042053147306170E+01   1.0296937769044050E+01   1.5535522036695473E+00
         1          3   0.0000000000000000E+00   2.2704473125619568E+01   9.6821001334224945E+00   1.4607313656699092E+00
         1          4   0.0000000000000000E+00   2.3795792854022430E+01   1.0191086676406002E+01   1.5431811987387021E+00
         1          5   0.0000000000000000E+00   2.0292683003507531E+01   8.5832500537489409E+00   1.2974543018995692E+00
         1          6   0.0000000000000000E+00   2.3267318209120891E+01   9.9655245077544645E+00   1.5215337271714759E+00
         1          7   0.0000000000000000E+00   1.7325805507599028E+01   7.2492448685537463E+00   1.1022869719704183E+00
         1          8   0.0000000000000000E+00   2.2520170527732311E+01   9.6504781330645990E+00   1.4921953847940448E+00
         1          9   0.0000000000000000E+00   1.4277156268361864E+01   5.9051103074459448E+00   9.1002185368855648E-01
         1         10   0.0000000000000000E+00   2.1601288969497464E+01   9.2695158503232982E+00   1.4577857061034285E+00
         1         11   0.0000000000000000E+00   2.1585140463703052E+01   9.0207847099368816E+00   1.4221983945887517E+00
         1         12   0.0000000000000000E+00   1.5827104338170642E+01   7.0026185944836188E+00   1.1405871135010608E+00
         1         13   0.0000000000000000E+00   1.9749865795183915E+01   8.0584268610191057E+00   1.3383410088467842E+00
         1         14   0.0000000000000000E+00   1.1587168273932203E+01   5.3421143414422758E+00   9.1319531608518589E-01
         1         15   0.0000000000000000E+00   1.7222517327751437E+01   6.7043164120817664E+00   1.2455693752895380E+00
         1         16   0.0000000000000000E+00   8.0018085964185968E+00   3.7105147722453742E+00   6.7203009162963667E-01
         1         17   0.0000000000000000E+00   1.3895774391901220E+01   4.6047936685560016E+00   1.1482308134402210E+00
         1         18   0.0000000000000000E+00   4.6480755613660572E+00   2.0703930300395141E+00   4.2483961900835254E-01
         1         19   0.0000000000000000E+00   4.1639104033632046E+00   5.3810771960507098E-01   2.9945835737409049E-01
         1         20   0.0000000000000000E+00   1.5055040302863825E+01   2.6569092324052215E+00   9.7718985905223010E-01
         1         21   0.0000000000000000E+00   3.1008969024990956E+00   4.0089244061267104E-01   2.4988930287105179E-01
         1         22   0.0000000000000000E+00   1.2440311442227754E+01   2.3051699165580213E+00   8.5153437537177168E-01
         1         23   0.0000000000000000E+00   3.7251819902633327E+00   4.6758732867624342E-01   2.6811108101120912E-01
         1         24   0.0000000000000000E+00   1.3142080491194804E+01   2.3173580212415068E+00   8.6230199398854568E-01
         1         25   0.0000000000000000E+00   2.8007076060201155E+00   3.4955389250059454E-01   2.2478736855278128E-01
         1         26   0.0000000000000000E+00   1.0845171930307423E+01   2.0135748982232933E+00   7.5172625347787181E-01
         1         27   0.0000000000000000E+00   9.6926311159098777E+00   1.1695129014560621E+00   4.9502454342897040E-01
         1         28   0.0000000000000000E+00   1.8806661683713436E+01   2.9271995132691213E+00   1.0813083069035487E+00
         1         29   0.0000000000000000E+00   5.0820719811153552E+00   6.0412782915441166E-01   3.0997428650438552E-01
         1         30   0.0000000000000000E+00   1.4215560296883602E+01   2.3618144409674700E+00   8.8475320220113718E-01
         1         31   0.0000000000000000E+00   8.5681935518304044E+00   9.9938933478426117E-01   4.3346428254026781E-01
         1         32   0.0000000000000000E+00   1.6339861889836005E+01   2.5248199008217234E+00   9.4696581839117144E-01
         1         33   0.0000000000000000E+00   4.5070695464578181E+00   5.1726680860483065E-01   2.7357433619770549E-01
         1         34   0.0000000000000000E+00   1.2326287334319787E+01   2.0426973746422927E+00   7.7582584521785769E-01
         1         35   0.0000000000000000E+00   7.5952984147214302E+00   8.5681359319202621E-01   3.8081655160444361E-01
         1         36   0.0000000000000000E+00   1.4241149889680461E+01   2.1870865300030649E+00   8.3260301269870440E-01
         1         37   0.0000000000000000E+00   2.6347154257517311E+00   2.9720275636861604E-01   1.8793467460583030E-01
         1         38   0.0000000000000000E+00   8.5239299779250128E+00   1.5085074093147646E+00   5.8265999595114049E-01
         1         39   0.0000000000000000E+00   5.4469978465357771E+00   5.4994965321736855E-01   2.6294350049720122E-01
         1         40   0.0000000000000000E+00   9.7030396614266152E+00   1.4562622747163718E+00   5.7823046199937300E-01
