################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -7.3846215302201328E+00 a         1     0     1     1     1
  9.9035799316630929E+01 a         2     0     1     1     2
  4.6705126204794212E+00 a         3     0     1     1     3
 -2.4604873728974184E+01 a         4     0     1     1     4
 -1.2661446900098960E+00 a         5     0     1     1     5
 -4.7390660812737861E+00 a         6     0     1     1     6
 -1.8404582373362881E+01 a         7     0     1     1     7
 -1.3616022124574780E+01 a         8     0     1     1     8
  2.5772370420936646E+01 a         9     0     1     1     9
 -2.1419358725159096E+01 a        10     0     1     1    10
  2.3574657564830090E+01 a        11     0     1     1    11
 -1.9697217402714919E+01 a        12     0     1     1    12
  1.4271613496692104E+00 a        13     0     1     1    13
  2.9330799511714666E+01 a        14     0     1     1    14
 -1.5365571357708465E+01 a        15     0     1     1    15
  7.0913486087992538E+01 a        16     0     1     1    16
  1.6259639900522888E+01 a        17     0     1     1    17
  3.0342349779195894E+00 a        18     0     1     1    18
 -1.1142421105257633E+01 a        19     0     1     1    19
 -3.7800036347647894E+00 a        20     0     1     1    20
  4.2034367828260111E+00 a        21     0     1     1    21
 -3.4490090615294854E+01 a        22     0     1     1    22
  6.4003509588103897E+00 a        23     0     1     1    23
  1.7696835057714132E+01 a        24     0     1     1    24
 -3.3239777484499897E+00 a        25     0     1     1    25
 -5.8693120024031437E+01 a        26     0     1     1    26
  9.2381755785014654E+00 a        27     0     1     1    27
  1.7994161029146218E+02 a        28     0     1     1    28
 -1.5300667523368414E+01 a        29     0     1     1    29
  1.4444397131924099E+01 a        30     0     1     1    30
 -9.8818381024123276E+00 a        31     0     1     1    31
  6.3741802509280241E+00 a        32     0     1     1    32
  7.0915520795585365E+01 a        33     0     1     1    33
 -1.9635089172823655E+01 a        34     0     1     1    34
 -1.1094670817621468E+01 a        35     0     1     1    35
  2.2876765992617766E+01 a        36     0     1     1    36
  2.9829114695108125E+01 a        37     0     1     1    37
 -2.5181884512150376E+01 a        38     0     1     1    38
 -6.2389861935456492E-01 a        39     0     1     1    39
  1.2312436172755438E+01 a        40     0     1     1    40
  1.9189701799078762E+01 a        41     0     1     1    41
  1.0892741618729877E+02 a        42     0     1     1    42
  2.4309743116667189E+01 a        43     0     1     1    43
 -6.1387669820621497E+01 a        44     0     1     1    44
  4.1771338815307956E+01 a        45     0     1     1    45
  4.7944148700800340E-02 a        46     0     1     1    46
  2.3230533444982379E+02 a        47     0     1     1    47
  2.9850491284440537E+01 a        48     0     1     1    48
 -9.9934945634706818E+00 a        49     0     1     1    49
 -1.4100424345173730E+01 a        50     0     1     1    50
 -3.9917446799100826E+00 a        51     0     2     1     1
  9.1675493068862878E+01 a        52     0     2     1     2
  7.2016426998986258E+00 a        53     0     2     1     3
 -2.5230556302076732E+01 a        54     0     2     1     4
  3.1002607433121865E+00 a        55     0     2     1     5
 -3.9563237700356071E+00 a        56     0     2     1     6
 -2.1400604308137677E+01 a        57     0     2     1     7
 -3.8082945227301743E+00 a        58     0     2     1     8
  2.6268866214377383E+01 a        59     0     2     1     9
 -1.6778342536511499E+01 a        60     0     2     1    10
  1.8793715211180501E+01 a        61     0     2     1    11
 -1.4447937977262272E+01 a        62     0     2     1    12
  2.0685516209705650E+00 a        63     0     2     1    13
  3.2399056483088948E+01 a        64     0     2     1    14
 -9.1439289974147666E+00 a        65     0     2     1    15
  5.9824473928337810E+01 a        66     0     2     1    16
  1.5939080884648426E+01 a        67     0     2     1    17
  3.1692489860641975E+00 a        68     0     2     1    18
 -1.0758322150365190E+01 a        69     0     2     1    19
 -3.3239356879932238E+00 a        70     0     2     1    20
  5.2945000768387276E+00 a        71     0     2     1    21
 -3.7892577982203093E+01 a        72     0     2     1    22
  6.8871390523026346E+00 a        73     0     2     1    23
  1.4553564221847777E+01 a        74     0     2     1    24
 -4.3338139240872700E+00 a        75     0     2     1    25
 -5.4581304946494313E+01 a        76     0     2     1    26
  8.7496545856490684E+00 a        77     0     2     1    27
  1.5559393859917375E+02 a        78     0     2     1    28
 -1.1386560400476077E+01 a        79     0     2     1    29
  1.6592181006402665E+01 a        80     0     2     1    30
 -8.7887981906465917E+00 a        81     0     2     1    31
  4.1325218859347341E+00 a        82     0     2     1    32
  6.5558776183288003E+01 a        83     0     2     1    33
 -1.8023214278710721E+01 a        84     0     2     1    34
 -1.4838116892709033E+01 a        85     0     2     1    35
  2.4675576746120477E+01 a        86     0     2     1    36
  2.8195640885971788E+01 a        87     0     2     1    37
 -1.3776372219949613E+01 a        88     0     2     1    38
 -2.4098590479394182E+00 a        89     0     2     1    39
  1.3105289953126148E+01 a        90     0     2     1    40
  1.3978674736536345E+01 a        91     0     2     1    41
  9.2933648242613003E+01 a        92     0     2     1    42
  1.9562786187592117E+01 a        93     0     2     1    43
 -5.0601267759105255E+01 a        94     0     2     1    44
  4.0476748173782788E+01 a        95     0     2     1    45
  1.1835429989250130E+01 a        96     0     2     1    46
  2.0945785786844877E+02 a        97     0     2     1    47
  2.8811038137408136E+01 a        98     0     2     1    48
 -6.4770203629269094E+00 a        99     0     2     1    49
 -8.9516239234600743E+00 a       100     0     2     1    50
 -1.7596512534407697E+01 a       101     0     3     1     1
  8.6831188873050507E+01 a       102     0     3     1     2
 -6.2972802383493178E+00 a       103     0     3     1     3
 -1.3157254127155507E+01 a       104     0     3     1     4
 -1.4416683316081167E+01 a       105     0     3     1     5
 -4.4690946465343595E+00 a       106     0     3     1     6
  5.5038213254257007E-01 a       107     0     3     1     7
 -4.4754311869784459E+01 a       108     0     3     1     8
  9.2115349667860666E+00 a       109     0     3     1     9
 -3.0405829283686561E+01 a       110     0     3     1    10
  3.5767446489947091E+01 a       111     0     3     1    11
 -3.2674651388282065E+01 a       112     0     3     1    12
 -4.7380124942419122E-01 a       113     0     3     1    13
  4.9940729394057088E+00 a       114     0     3     1    14
 -3.2255901879095092E+01 a       115     0     3     1    15
  8.5966393550054917E+01 a       116     0     3     1    16
  9.6500241397855184E+00 a       117     0     3     1    17
  1.0982173616897009E+00 a       118     0     3     1    18
 -1.0818438639386157E+01 a       119     0     3     1    19
 -5.3335604398222936E+00 a       120     0     3     1    20
 -4.3637016124760546E+00 a       121     0     3     1    21
 -8.8928116850178061E+00 a       122     0     3     1    22
  4.4532336192241151E-01 a       123     0     3     1    23
  2.2045959946283833E+01 a       124     0     3     1    24
  4.0456031692319089E-01 a       125     0     3     1    25
 -5.3384192901509508E+01 a       126     0     3     1    26
  8.7405212913810413E+00 a       127     0     3     1    27
  2.0056486064586787E+02 a       128     0     3     1    28
 -2.4310850797902514E+01 a       129     0     3     1    29
  3.6196849843779300E-01 a       130     0     3     1    30
 -9.8179420691633030E+00 a       131     0     3     1    31
  1.3832831367348934E+01 a       132     0     3     1    32
  6.6933012879456896E+01 a       133     0     3     1    33
 -1.7457240794050470E+01 a       134     0     3     1    34
  7.5879745110962062E+00 a       135     0     3     1    35
  8.9342734300933060E+00 a       136     0     3     1    36
  2.9281360960228596E+01 a       137     0     3     1    37
 -5.8435602235425435E+01 a       138     0     3     1    38
  9.1144097059675904E+00 a       139     0     3     1    39
  3.0361484358894462E+00 a       140     0     3     1    40
  3.2263376520882275E+01 a       141     0     3     1    41
  1.2604521055397079E+02 a       142     0     3     1    42
  2.9999387676498834E+01 a       143     0     3     1    43
 -7.4820980790997851E+01 a       144     0     3     1    44
  3.1149879437123531E+01 a       145     0     3     1    45
 -4.5961920120626218E+01 a       146     0     3     1    46
