################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -9.4184746796301457E+00 a         1     0     1     1     1
  4.5070804739986698E+01 a         2     0     1     1     2
 -1.5764840939487121E+00 a         3     0     1     1     3
 -1.4857492773773682E+00 a         4     0     1     1     4
 -2.5860983328242533E+00 a         5     0     1     1     5
 -2.4149814027994286E-02 a         6     0     1     1     6
 -2.4636545339038673E+01 a         7     0     1     1     7
 -7.4838929727709127E+00 a         8     0     1     1     8
 -5.2829488860883904E+00 a         9     0     1     1     9
  1.7823889941493807E+00 a        10     0     1     1    10
 -5.6075877042911451E+00 a        11     0     1     1    11
  2.0628502283973855E+01 a        12     0     1     1    12
 -1.4921439500111908E+00 a        13     0     1     1    13
 -3.6277647962682131E+01 a        14     0     1     1    14
 -2.4675341997399013E+01 a        15     0     1     1    15
 -8.0126908076161172E+00 a        16     0     1     1    16
 -2.5809129544494223E+00 a        17     0     1     1    17
  1.2651207439168850E+01 a        18     0     1     1    18
  1.6267363953179983E+00 a        19     0     1     1    19
  1.6662194775576371E+00 a        20     0     1     1    20
  9.8663774569361955E+00 a        21     0     1     1    21
 -2.8456796232913089E+00 a        22     0     1     1    22
 -8.5405280584456627E+00 a        23     0     1     1    23
  1.1546479856009132E+01 a        24     0     1     1    24
  9.7942497407089135E+00 a        25     0     1     1    25
 -5.3276333473230482E+00 a        26     0     1     1    26
 -6.5673334565965575E+00 a        27     0     1     1    27
 -6.8920540923019516E+01 a        28     0     1     1    28
  2.3859458343042945E+01 a        29     0     1     1    29
  1.0798488859831863E+01 a        30     0     1     1    30
  7.4788646337818925E+00 a        31     0     1     1    31
 -1.2230097745202677E+00 a        32     0     1     1    32
  5.4763742890294766E+00 a        33     0     1     1    33
 -3.4766333023202698E+01 a        34     0     1     1    34
  1.8432295182771476E+00 a        35     0     1     1    35
  4.9997476067939015E+00 a        36     0     1     1    36
 -1.1376526698166700E+01 a        37     0     1     1    37
 -1.6645841108398314E+00 a        38     0     1     1    38
 -3.3223493031850937E-01 a        39     0     1     1    39
 -1.3003858204424706E-01 a        40     0     1     1    40
 -1.3241256591116921E+00 a        41     0     1     1    41
 -2.9036938899534084E+00 a        42     0     1     1    42
 -6.0896237881074988E-01 a        43     0     1     1    43
 -4.4270456905606972E+00 a        44     0     1     1    44
 -8.8117734452654783E+00 a        45     0     1     1    45
 -1.4834429730560936E+01 a        46     0     1     1    46
 -3.6154029514207995E+00 a        47     0     1     1    47
  5.1170131524775397E-01 a        48     0     1     1    48
 -1.5315345765977472E+01 a        49     0     1     1    49
  2.1886605138632497E+01 a        50     0     1     1    50
 -1.0739558292012905E+01 a        51     0     2     1     1
  3.6616993670437381E+01 a        52     0     2     1     2
 -3.3496238571481389E+00 a        53     0     2     1     3
 -2.0614767763725843E+00 a        54     0     2     1     4
 -3.1793802446213961E+00 a        55     0     2     1     5
 -1.2702357530561162E-01 a        56     0     2     1     6
 -2.1981865278374951E+01 a        57     0     2     1     7
 -5.9656069440406316E+00 a        58     0     2     1     8
 -4.6099132458993344E+00 a        59     0     2     1     9
  8.8002464187043949E-01 a        60     0     2     1    10
 -3.7818870192824421E+00 a        61     0     2     1    11
  1.9526682400392108E+01 a        62     0     2     1    12
  6.6292296227260727E-01 a        63     0     2     1    13
 -3.2728875973137114E+01 a        64     0     2     1    14
 -2.0757785225759683E+01 a        65     0     2     1    15
 -9.3300116356298428E+00 a        66     0     2     1    16
 -3.4909370797321473E+00 a        67     0     2     1    17
  1.1546208910800230E+01 a        68     0     2     1    18
 -5.7081082417463028E-02 a        69     0     2     1    19
  9.5731233119605175E-01 a        70     0     2     1    20
  8.0936682722387392E+00 a        71     0     2     1    21
 -3.5539210833737598E+00 a        72     0     2     1    22
 -8.2722390874550999E+00 a        73     0     2     1    23
  1.1579463588011940E+01 a        74     0     2     1    24
  1.0337301757575549E+01 a        75     0     2     1    25
 -5.6789754546538003E+00 a        76     0     2     1    26
 -6.8297580353673961E+00 a        77     0     2     1    27
 -5.8835761247622450E+01 a        78     0     2     1    28
  1.9141589014123678E+01 a        79     0     2     1    29
  8.2937663595035627E+00 a        80     0     2     1    30
  7.2186425345092591E+00 a        81     0     2     1    31
 -1.3816614896507937E+00 a        82     0     2     1    32
  6.1654660967955417E+00 a        83     0     2     1    33
 -3.1777494195353004E+01 a        84     0     2     1    34
  8.0972758507986708E-01 a        85     0     2     1    35
  4.3489017366106699E+00 a        86     0     2     1    36
 -9.7037734227556971E+00 a        87     0     2     1    37
 -1.7718128588209474E+00 a        88     0     2     1    38
  1.9366011931955254E-01 a        89     0     2     1    39
 -2.9792535561450212E-01 a        90     0     2     1    40
 -1.0480285404783496E+00 a        91     0     2     1    41
 -3.1341027139006679E+00 a        92     0     2     1    42
 -3.1971044921168335E-01 a        93     0     2     1    43
 -4.7011258906119151E+00 a        94     0     2     1    44
 -7.3357216268142986E+00 a        95     0     2     1    45
 -1.2683870454950169E+01 a        96     0     2     1    46
 -1.5251205773927987E+00 a        97     0     2     1    47
  1.7178771211643002E+00 a        98     0     2     1    48
 -9.8051362510705775E-01 a        99     0     2     1    49
  1.9021068589395981E+01 a       100     0     2     1    50
 -3.4071048554035683E+00 a       101     0     3     1     1
  5.7095031407824578E+01 a       102     0     3     1     2
  5.3171407273512683E+00 a       103     0     3     1     3
  3.1553840881030277E+00 a       104     0     3     1     4
  1.8332214881895084E+00 a       105     0     3     1     5
  1.0330535617430581E+00 a       106     0     3     1     6
 -2.5485605017828057E+01 a       107     0     3     1     7
 -9.7556942933183244E+00 a       108     0     3     1     8
 -5.8777026171505238E+00 a       109     0     3     1     9
  5.1183900056812996E+00 a       110     0     3     1    10
 -1.0806281247311718E+01 a       111     0     3     1    11
  1.4835355565244422E+01 a       112     0     3     1    12
 -7.7139163213469359E+00 a       113     0     3     1    13
 -3.4573515614441668E+01 a       114     0     3     1    14
 -2.8600650311754780E+01 a       115     0     3     1    15
 -8.0373284048853588E-01 a       116     0     3     1    16
  6.6730723182319329E-01 a       117     0     3     1    17
  1.1215752582446251E+01 a       118     0     3     1    18
  7.9383607355161301E+00 a       119     0     3     1    19
  6.4079289238273764E+00 a       120     0     3     1    20
  1.3132976355823635E+01 a       121     0     3     1    21
  6.6330691117184995E-02 a       122     0     3     1    22
 -7.1590941983660370E+00 a       123     0     3     1    23
  6.6258536612559853E+00 a       124     0     3     1    24
  4.2644680953526741E+00 a       125     0     3     1    25
 -2.7266537976417804E+00 a       126     0     3     1    26
 -3.7711341015685558E+00 a       127     0     3     1    27
 -7.9342825723989790E+01 a       128     0     3     1    28
  3.1571857750110478E+01 a       129     0     3     1    29
  1.5564429645687618E+01 a       130     0     3     1    30
  4.8832077711356829E+00 a       131     0     3     1    31
 -7.6471865359632318E-01 a       132     0     3     1    32
 -1.6491321543345910E-01 a       133     0     3     1    33
 -3.2404729073096490E+01 a       134     0     3     1    34
  4.9793763748444988E+00 a       135     0     3     1    35
  6.5622431407889756E+00 a       136     0     3     1    36
 -1.3897456454475911E+01 a       137     0     3     1    37
  4.0069832433079983E-01 a       138     0     3     1    38
 -2.7485874301069102E+00 a       139     0     3     1    39
 -6.5598680244111918E-01 a       140     0     3     1    40
 -1.4737985083124845E+00 a       141     0     3     1    41
 -2.4718571621214802E+00 a       142     0     3     1    42
  7.4922885462560068E-02 a       143     0     3     1    43
 -6.7212392226511389E-02 a       144     0     3     1    44
 -9.7032395534610494E+00 a       145     0     3     1    45
 -1.8119017211745039E+01 a       146     0     3     1    46
 -1.0848424787709364E+01 a       147     0     3     1    47
 -4.4110326123049362E+00 a       148     0     3     1    48
 -6.7714049315834018E+01 a       149     0     3     1    49
  2.3728341072801477E+01 a       150     0     3     1    50
 -1.1367435223932681E+01 a       151     0     4     1     1
 -1.8566830110722197E+01 a       152     0     4     1     2
 -1.1711482175600315E+01 a       153     0     4     1     3
 -5.1564691799113387E+00 a       154     0     4     1     4
 -4.6923024332187362E+00 a       155     0     4     1     5
 -2.3691936294910789E+00 a       156     0     4     1     6
  1.4948813213825327E+00 a       157     0     4     1     7
  3.5638163597312973E+00 a       158     0     4     1     8
 -1.1154110113794560E+00 a       159     0     4     1     9
 -2.8254380384044890E+00 a       160     0     4     1    10
  6.5147294191703571E+00 a       161     0     4     1    11
  6.9063204236445781E+00 a       162     0     4     1    12
  8.9907378650205878E+00 a       163     0     4     1    13
 -1.7036073197049604E+00 a       164     0     4     1    14
  5.5987906433920243E+00 a       165     0     4     1    15
 -1.0762280652538479E+01 a       166     0     4     1    16
 -6.1996086989277783E+00 a       167     0     4     1    17
  1.0626174651387008E+00 a       168     0     4     1    18
 -9.9597126228952906E+00 a       169     0     4     1    19
 -3.2408525638771666E+00 a       170     0     4     1    20
 -4.0406399379485807E+00 a       171     0     4     1    21
 -6.5318949703524005E+00 a       172     0     4     1    22
 -3.4608823386998684E+00 a       173     0     4     1    23
  8.7220126060636929E+00 a       174     0     4     1    24
  1.0881023311723569E+01 a       175     0     4     1    25
 -5.0336903638285930E+00 a       176     0     4     1    26
 -5.7935684232509681E+00 a       177     0     4     1    27
  1.5907679888206944E+01 a       178     0     4     1    28
 -1.2560517643373029E+01 a       179     0     4     1    29
 -7.2767417375257111E+00 a       180     0     4     1    30
  1.6922249567290966E+00 a       181     0     4     1    31
 -4.5986001072644106E-01 a       182     0     4     1    32
  8.6637855028432842E+00 a       183     0     4     1    33
 -2.4758848365954984E+00 a       184     0     4     1    34
 -2.2416719016164972E+00 a       185     0     4     1    35
 -9.4520538870631210E-01 a       186     0     4     1    36
  3.6009222882721783E+00 a       187     0     4     1    37
 -3.4952786819118442E+00 a       188     0     4     1    38
  3.1118454888322331E+00 a       189     0     4     1    39
 -2.9684206502797644E-01 a       190     0     4     1    40
 -3.4105406070488875E-01 a       191     0     4     1    41
 -2.3736736173966722E+00 a       192     0     4     1    42
  1.9200160497603380E-01 a       193     0     4     1    43
 -2.5874443707322734E+00 a       194     0     4     1    44
  6.7075139597631409E-02 a       195     0     4     1    45
  3.4168271093179126E+00 a       196     0     4     1    46
  1.0493799162431218E+01 a       197     0     4     1    47
  6.3881812639117621E+00 a       198     0     4     1    48
  6.1870272457992904E+01 a       199     0     4     1    49
 -2.9592648811955233E+00 a       200     0     4     1    50
  6.5362367525070297E+00 a       201     0     5     1     1
  8.2480816127704912E+01 a       202     0     5     1     2
  1.7789640054492573E+01 a       203     0     5     1     3
  9.9705623933702281E+00 a       204     0     5     1     4
  7.6085027046616069E+00 a       205     0     5     1     5
  2.4384525330738049E+00 a       206     0     5     1     6
 -2.9722458681902701E+01 a       207     0     5     1     7
 -1.5503941868016366E+01 a       208     0     5     1     8
 -5.7027046173239047E+00 a       209     0     5     1     9
  9.6178609176894110E+00 a       210     0     5     1    10
 -1.8826985154654878E+01 a       211     0     5     1    11
  9.1267648850948131E+00 a       212     0     5     1    12
 -1.8045761087666822E+01 a       213     0     5     1    13
 -3.7620381008504225E+01 a       214     0     5     1    14
 -3.7641817914412222E+01 a       215     0     5     1    15
  9.0101626850434737E+00 a       216     0     5     1    16
  6.4254780033969174E+00 a       217     0     5     1    17
  1.2568238934595000E+01 a       218     0     5     1    18
  1.7577578169096583E+01 a       219     0     5     1    19
  1.3345972391331721E+01 a       220     0     5     1    20
  1.8734557807132219E+01 a       221     0     5     1    21
  4.7794935826077660E+00 a       222     0     5     1    22
 -6.4836934971890550E+00 a       223     0     5     1    23
 -7.6590076393227524E-01 a       224     0     5     1    24
 -3.5276606177482615E+00 a       225     0     5     1    25
  5.9940951006166510E-01 a       226     0     5     1    26
  7.8022065526605267E-01 a       227     0     5     1    27
 -1.0629721201948986E+02 a       228     0     5     1    28
  4.7717776103352108E+01 a       229     0     5     1    29
  2.6013873278250216E+01 a       230     0     5     1    30
  3.0306249986911915E+00 a       231     0     5     1    31
  6.0222599701641988E-01 a       232     0     5     1    32
 -8.5802494009017973E+00 a       233     0     5     1    33
 -3.2571199650016233E+01 a       234     0     5     1    34
  8.4752409332614249E+00 a       235     0     5     1    35
  9.9447762244554845E+00 a       236     0     5     1    36
 -1.9203446817261359E+01 a       237     0     5     1    37
  3.5587593845385350E+00 a       238     0     5     1    38
 -6.7337351922654021E+00 a       239     0     5     1    39
 -5.2220850275676878E-01 a       240     0     5     1    40
 -2.5759367147445733E+00 a       241     0     5     1    41
 -2.0222581371648896E+00 a       242     0     5     1    42
  1.0642863979639505E+00 a       243     0     5     1    43
  5.9085204159506448E+00 a       244     0     5     1    44
 -1.1733763376990085E+01 a       245     0     5     1    45
 -2.5542694621316816E+01 a       246     0     5     1    46
 -2.3561571942585967E+01 a       247     0     5     1    47
 -1.0887648091717045E+01 a       248     0     5     1    48
 -1.4265711271639918E+02 a       249     0     5     1    49
  3.0543995134550794E+01 a       250     0     5     1    50
 -1.0513708364666194E+01 a       251     0     6     1     1
 -9.6927565601661271E+01 a       252     0     6     1     2
 -2.2873266774802673E+01 a       253     0     6     1     3
 -1.0805176570332195E+01 a       254     0     6     1     4
 -6.9195010641526569E+00 a       255     0     6     1     5
 -4.5465832112483922E+00 a       256     0     6     1     6
  3.4212176849425703E+01 a       257     0     6     1     7
  1.7990575757703038E+01 a       258     0     6     1     8
  4.1920025900604552E+00 a       259     0     6     1     9
 -8.3372094430593755E+00 a       260     0     6     1    10
  2.0798378785851241E+01 a       261     0     6     1    11
 -1.2913561622670565E+01 a       262     0     6     1    12
  2.1417586896389718E+01 a       263     0     6     1    13
  4.2967929859745801E+01 a       264     0     6     1    14
  4.4366354758615564E+01 a       265     0     6     1    15
 -1.2173557795904779E+01 a       266     0     6     1    16
 -9.7820733084805305E+00 a       267     0     6     1    17
 -1.4261875811910798E+01 a       268     0     6     1    18
 -2.3120209258566550E+01 a       269     0     6     1    19
 -9.2018271194151477E+00 a       270     0     6     1    20
 -2.1019506223988529E+01 a       271     0     6     1    21
 -9.8723230284070702E+00 a       272     0     6     1    22
  2.8230616406480640E+00 a       273     0     6     1    23
  2.7644913849579176E+00 a       274     0     6     1    24
  9.6107567151905400E+00 a       275     0     6     1    25
 -4.2442442525614297E+00 a       276     0     6     1    26
 -3.4681478434516571E+00 a       277     0     6     1    27
  1.2198678641546748E+02 a       278     0     6     1    28
 -5.8514108817159148E+01 a       279     0     6     1    29
 -2.8296947849902651E+01 a       280     0     6     1    30
 -6.3602432420339623E+00 a       281     0     6     1    31
  1.3314075913432803E+00 a       282     0     6     1    32
  1.0918196082759676E+01 a       283     0     6     1    33
  4.0061704830724452E+01 a       284     0     6     1    34
 -7.2233835515721641E+00 a       285     0     6     1    35
 -9.0430439815800270E+00 a       286     0     6     1    36
  2.2330772628607669E+01 a       287     0     6     1    37
 -5.4241391379157688E+00 a       288     0     6     1    38
  7.7414064300873351E+00 a       289     0     6     1    39
  1.4837371854481468E-01 a       290     0     6     1    40
  4.7230410732866390E-01 a       291     0     6     1    41
 -1.7999623720170381E+00 a       292     0     6     1    42
  1.2013484571397544E+00 a       293     0     6     1    43
  1.0791690565365579E-01 a       294     0     6     1    44
  1.2079537118540644E+01 a       295     0     6     1    45
  2.8424398419019742E+01 a       296     0     6     1    46
  2.7037117654043332E+01 a       297     0     6     1    47
  1.3189890966478385E+01 a       298     0     6     1    48
  1.5320863723187796E+02 a       299     0     6     1    49
 -3.5810869374389355E+01 a       300     0     6     1    50
  1.0834872772953268E+01 a       301     0     7     1     1
  6.7086413319679792E+01 a       302     0     7     1     2
  2.2000800663698534E+01 a       303     0     7     1     3
  1.4619419777077207E+01 a       304     0     7     1     4
  1.0675299909813049E+01 a       305     0     7     1     5
  9.1268549292566770E-01 a       306     0     7     1     6
 -1.9216819561837273E+01 a       307     0     7     1     7
 -1.4049079575024360E+01 a       308     0     7     1     8
 -2.3329433954343655E+00 a       309     0     7     1     9
  1.0768634392001809E+01 a       310     0     7     1    10
 -1.7060512275429915E+01 a       311     0     7     1    11
 -3.3629068933485473E-01 a       312     0     7     1    12
 -1.9069336507045939E+01 a       313     0     7     1    13
 -2.4492785364070439E+01 a       314     0     7     1    14
 -2.9822104071365370E+01 a       315     0     7     1    15
  1.4379596737466732E+01 a       316     0     7     1    16
  8.9418589979943039E+00 a       317     0     7     1    17
  9.3681422585161425E+00 a       318     0     7     1    18
  1.7417064092988895E+01 a       319     0     7     1    19
  1.7751110072801815E+01 a       320     0     7     1    20
  1.4219666866087239E+01 a       321     0     7     1    21
  3.9572482652409389E+00 a       322     0     7     1    22
 -3.7110014218391232E+00 a       323     0     7     1    23
 -4.8137838243619218E+00 a       324     0     7     1    24
 -4.5059745531213933E+00 a       325     0     7     1    25
  2.9315187461243051E+00 a       326     0     7     1    26
  2.0953720718370503E+00 a       327     0     7     1    27
 -8.2530307455727581E+01 a       328     0     7     1    28
  4.2765467103109387E+01 a       329     0     7     1    29
  2.2430755572805015E+01 a       330     0     7     1    30
  6.4083067033733265E-01 a       331     0     7     1    31
  1.9229355174240552E+00 a       332     0     7     1    32
 -1.0548725154264691E+01 a       333     0     7     1    33
 -1.6712861844033238E+01 a       334     0     7     1    34
  9.5668566527284700E+00 a       335     0     7     1    35
  1.0304932957869013E+01 a       336     0     7     1    36
 -1.4644184978879304E+01 a       337     0     7     1    37
  4.3930687049964785E+00 a       338     0     7     1    38
 -7.2133697058191322E+00 a       339     0     7     1    39
  2.6681529201802912E-01 a       340     0     7     1    40
 -2.6679963868352372E+00 a       341     0     7     1    41
 -6.6498410321223522E-01 a       342     0     7     1    42
  1.9669335915005783E+00 a       343     0     7     1    43
  1.1170701094991548E+01 a       344     0     7     1    44
 -9.7930094438595781E+00 a       345     0     7     1    45
 -2.5967149317156633E+01 a       346     0     7     1    46
 -2.6954485427936632E+01 a       347     0     7     1    47
 -1.2653673760851680E+01 a       348     0     7     1    48
 -1.5962385620913423E+02 a       349     0     7     1    49
  2.3808750906294335E+01 a       350     0     7     1    50
 -5.5495653630611939E+00 a       351     0     8     1     1
 -1.1898023864523040E+02 a       352     0     8     1     2
 -2.4738578523066462E+01 a       353     0     8     1     3
 -1.4976851961468409E+01 a       354     0     8     1     4
 -7.6496791250099738E+00 a       355     0     8     1     5
 -3.6726632805259865E+00 a       356     0     8     1     6
  4.3612535574175318E+01 a       357     0     8     1     7
  2.2454788510413994E+01 a       358     0     8     1     8
  6.3989022734314291E+00 a       359     0     8     1     9
 -1.1422256025634548E+01 a       360     0     8     1    10
  2.3458250061861655E+01 a       361     0     8     1    11
 -2.1875691106456010E+01 a       362     0     8     1    12
  2.4286731763467813E+01 a       363     0     8     1    13
  5.7081371609728848E+01 a       364     0     8     1    14
  5.9298345510220862E+01 a       365     0     8     1    15
 -1.1894341933490539E+01 a       366     0     8     1    16
 -9.8112331491815947E+00 a       367     0     8     1    17
 -2.0295131679925060E+01 a       368     0     8     1    18
 -2.4876679647747366E+01 a       369     0     8     1    19
 -1.3462369435652331E+01 a       370     0     8     1    20
 -2.4887238556547089E+01 a       371     0     8     1    21
 -7.5826676359721477E+00 a       372     0     8     1    22
  3.8571806313741428E+00 a       373     0     8     1    23
 -4.3624019844725748E+00 a       374     0     8     1    24
  4.7642838293808998E+00 a       375     0     8     1    25
 -5.0411516522816964E+00 a       376     0     8     1    26
  1.1644751099868922E+00 a       377     0     8     1    27
  1.5062749521586275E+02 a       378     0     8     1    28
 -7.4486094205369369E+01 a       379     0     8     1    29
 -2.9800369245145493E+01 a       380     0     8     1    30
 -1.0432897995955301E+01 a       381     0     8     1    31
  2.2190563457773371E+00 a       382     0     8     1    32
  6.5963496215157047E+00 a       383     0     8     1    33
  5.3630859216882847E+01 a       384     0     8     1    34
 -1.1629728663904588E+01 a       385     0     8     1    35
 -1.2394239496775343E+01 a       386     0     8     1    36
  2.8570766393381856E+01 a       387     0     8     1    37
 -4.7556713628737350E+00 a       388     0     8     1    38
  9.3487068895689340E+00 a       389     0     8     1    39
  1.3314823037285461E-01 a       390     0     8     1    40
 -2.9815809618832451E-01 a       391     0     8     1    41
 -2.3747697859940677E+00 a       392     0     8     1    42
  7.2523096061599768E-01 a       393     0     8     1    43
  1.6923265251580921E+00 a       394     0     8     1    44
  1.7776357949718225E+01 a       395     0     8     1    45
  4.2861189660861875E+01 a       396     0     8     1    46
  3.1545545467702958E+01 a       397     0     8     1    47
  1.6801689224968783E+01 a       398     0     8     1    48
  1.9009514412893324E+02 a       399     0     8     1    49
 -4.7001547323386312E+01 a       400     0     8     1    50
  2.1660282787451530E+00 a       401     0     9     1     1
 -9.3150728394729242E+01 a       402     0     9     1     2
  7.6660368920455235E-01 a       403     0     9     1     3
  1.6678940461230805E+01 a       404     0     9     1     4
  8.2063063333561832E+00 a       405     0     9     1     5
 -9.2059819669703948E+00 a       406     0     9     1     6
  5.0723724284947110E+01 a       407     0     9     1     7
  1.1477216834465288E+01 a       408     0     9     1     8
  6.4197848735641019E+00 a       409     0     9     1     9
  6.1812746958316387E+00 a       410     0     9     1    10
  1.4092691834526264E+01 a       411     0     9     1    11
 -3.4238002930954544E+01 a       412     0     9     1    12
  3.2242547216538560E+00 a       413     0     9     1    13
  6.7568752783103179E+01 a       414     0     9     1    14
  3.8141087685667308E+01 a       415     0     9     1    15
  1.4671417441734224E+01 a       416     0     9     1    16
  3.4306675163502027E+00 a       417     0     9     1    17
 -1.6728696553894334E+01 a       418     0     9     1    18
 -1.1803246618994674E+01 a       419     0     9     1    19
  1.6083307103188496E+01 a       420     0     9     1    20
 -2.4306448821392671E+01 a       421     0     9     1    21
 -1.0806482585749658E+01 a       422     0     9     1    22
  1.2995540104637323E+01 a       423     0     9     1    23
 -3.6595119028041987E+00 a       424     0     9     1    24
  5.3228472049264592E+00 a       425     0     9     1    25
  9.0957061977646632E+00 a       426     0     9     1    26
 -4.0864619065571937E+00 a       427     0     9     1    27
  1.3814615770502527E+02 a       428     0     9     1    28
 -3.8621661737757165E+01 a       429     0     9     1    29
 -3.3775545678847493E+01 a       430     0     9     1    30
 -1.0449842248835497E+01 a       431     0     9     1    31
  5.0576153645521247E+00 a       432     0     9     1    32
  6.6304330438664278E+00 a       433     0     9     1    33
  7.1899193634218449E+01 a       434     0     9     1    34
  1.0509832610408809E+01 a       435     0     9     1    35
 -2.8158068302375894E-01 a       436     0     9     1    36
  2.1384326050784029E+01 a       437     0     9     1    37
 -2.2925860480382956E+00 a       438     0     9     1    38
 -4.1651775982219125E-01 a       439     0     9     1    39
  2.4405217823612486E+00 a       440     0     9     1    40
  1.6008861933886127E+00 a       441     0     9     1    41
  2.7363926076375660E+00 a       442     0     9     1    42
  6.7300956688737621E+00 a       443     0     9     1    43
  1.9251303865293867E+01 a       444     0     9     1    44
  6.7429091359442710E+00 a       445     0     9     1    45
 -4.4134506681841268E-01 a       446     0     9     1    46
  6.7377144471919326E-01 a       447     0     9     1    47
 -7.6601953884526681E+00 a       448     0     9     1    48
 -4.3063156642123040E+01 a       449     0     9     1    49
 -3.6394915057255723E+01 a       450     0     9     1    50
  7.1136337341611702E+00 a       451     0    10     1     1
 -1.3107522886615243E+01 a       452     0    10     1     2
 -4.5090524503479852E+00 a       453     0    10     1     3
 -1.4937284590551750E+01 a       454     0    10     1     4
 -3.7044958869905265E+00 a       455     0    10     1     5
  4.2777240858037455E+00 a       456     0    10     1     6
  8.7088965766278337E-01 a       457     0    10     1     7
  4.6004237288485035E+00 a       458     0    10     1     8
  3.4535035313461089E+00 a       459     0    10     1     9
 -9.0360337533502513E+00 a       460     0    10     1    10
  1.1965506663542653E+00 a       461     0    10     1    11
 -5.8814987088602715E+00 a       462     0    10     1    12
  7.7121618099934865E+00 a       463     0    10     1    13
 -6.5393802388053102E-01 a       464     0    10     1    14
  2.0332984020197319E+01 a       465     0    10     1    15
 -8.5590756194917077E+00 a       466     0    10     1    16
 -3.4588222348331592E+00 a       467     0    10     1    17
 -3.6714604334092900E+00 a       468     0    10     1    18
 -2.9410006679388787E+00 a       469     0    10     1    19
 -1.0542687629147183E+01 a       470     0    10     1    20
