################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.7292677475436280E+00 a         1     0     1     1     1
  2.2741273865501338E+01 a         2     0     1     1     2
  1.4467409284898663E+01 a         3     0     1     1     3
 -9.1587748449355235E+00 a         4     0     1     1     4
  1.4438320694279741E+02 a         5     0     1     1     5
  9.7109676368190883E+00 a         6     0     1     1     6
 -1.0926371360007934E+01 a         7     0     1     1     7
  4.2217789669001959E+00 a         8     0     1     1     8
  2.8848322746893379E-01 a         9     0     1     1     9
 -2.5918264274404333E+01 a        10     0     1     1    10
  4.5975133575167799E+00 a        11     0     1     1    11
 -3.6264695186319691E+00 a        12     0     1     1    12
  9.3198411906127383E+00 a        13     0     1     1    13
  7.4038444818717872E+00 a        14     0     1     1    14
  1.6956251976167966E+00 a        15     0     1     1    15
  2.0244971645539578E+00 a        16     0     1     1    16
  1.8685561805536523E+01 a        17     0     1     1    17
 -1.4509266724389626E+01 a        18     0     1     1    18
 -1.1270557321318630E+02 a        19     0     1     1    19
  1.4446961389292653E+01 a        20     0     1     1    20
  3.2390817899264952E+01 a        21     0     1     1    21
 -2.1365499964594492E+00 a        22     0     1     1    22
  2.1195633868168309E+00 a        23     0     1     1    23
  9.5412687265205790E+01 a        24     0     1     1    24
  6.4444433883742400E+00 a        25     0     1     1    25
  5.6964593251790072E+00 a        26     0     1     1    26
 -1.9718741810009806E+01 a        27     0     1     1    27
  8.9377835109809800E-01 a        28     0     1     1    28
  5.1308040190852502E+00 a        29     0     1     1    29
 -9.2180615409338706E-01 a        30     0     1     1    30
 -3.5598530816064522E+00 a        31     0     1     1    31
 -1.2807638750687367E+01 a        32     0     1     1    32
 -1.5016616432079545E+01 a        33     0     1     1    33
  1.3245507821210442E+01 a        34     0     1     1    34
 -7.4172081439354557E+01 a        35     0     1     1    35
  1.3762503307166758E+01 a        36     0     1     1    36
  1.5378997385807837E+01 a        37     0     1     1    37
  3.3797955661468566E+00 a        38     0     1     1    38
  5.0274444666395306E+00 a        39     0     1     1    39
 -5.9889114887941042E-01 a        40     0     1     1    40
  4.1743766532162301E+00 a        41     0     1     1    41
 -1.5980936137616959E+00 a        42     0     1     1    42
  1.5986925885804846E+01 a        43     0     1     1    43
 -1.3669214482309795E+02 a        44     0     1     1    44
 -6.8464666943668613E+00 a        45     0     1     1    45
 -4.4676697459089629E+00 a        46     0     1     1    46
 -4.2347801291367677E+00 a        47     0     1     1    47
  1.2033496217300490E+00 a        48     0     1     1    48
 -1.4131867862135761E+02 a        49     0     1     1    49
 -4.9037646033133861E+01 a        50     0     1     1    50
 -1.8216738892102207E+00 a        51     0     2     1     1
  2.2940763884971002E+01 a        52     0     2     1     2
  8.4615528988566115E+00 a        53     0     2     1     3
 -6.4720938487607373E+00 a        54     0     2     1     4
  1.1720552395218785E+02 a        55     0     2     1     5
  9.3514681155407455E+00 a        56     0     2     1     6
 -1.2046546750207467E+01 a        57     0     2     1     7
  2.7560335035706980E+00 a        58     0     2     1     8
  2.8614313290627149E+00 a        59     0     2     1     9
 -2.6390704832629147E+01 a        60     0     2     1    10
  4.8275414839175026E+00 a        61     0     2     1    11
 -3.8726831235447272E+00 a        62     0     2     1    12
  1.2932704759385487E+01 a        63     0     2     1    13
  1.1234263763392727E+01 a        64     0     2     1    14
 -1.4170340704333992E+00 a        65     0     2     1    15
  3.0040014716096447E-01 a        66     0     2     1    16
  1.6587718605268257E+01 a        67     0     2     1    17
 -1.7170511516190157E+01 a        68     0     2     1    18
 -8.8360124720715248E+01 a        69     0     2     1    19
  1.5230437690668536E+01 a        70     0     2     1    20
  2.5833177391522163E+01 a        71     0     2     1    21
 -5.8032313581920896E+00 a        72     0     2     1    22
 -5.4306277970840098E+00 a        73     0     2     1    23
  7.5807954701782577E+01 a        74     0     2     1    24
  4.4945277433075193E+00 a        75     0     2     1    25
  6.1970502141759738E+00 a        76     0     2     1    26
 -2.1661851812520901E+01 a        77     0     2     1    27
 -1.0413838845013037E+00 a        78     0     2     1    28
 -4.9393199428904433E+00 a        79     0     2     1    29
  4.8780826815690742E-01 a        80     0     2     1    30
 -3.4685036117247381E+00 a        81     0     2     1    31
 -1.0684509194992980E+01 a        82     0     2     1    32
 -1.2892466430848978E+01 a        83     0     2     1    33
  1.4938825911334607E+01 a        84     0     2     1    34
 -6.1369791289400581E+01 a        85     0     2     1    35
  9.6659402637660570E+00 a        86     0     2     1    36
  1.9649781204837804E+01 a        87     0     2     1    37
  4.2646053444847025E+00 a        88     0     2     1    38
  4.4516068867973289E+00 a        89     0     2     1    39
 -9.4002201971051189E+00 a        90     0     2     1    40
  3.6179195405886264E+00 a        91     0     2     1    41
 -1.9107701307425229E+00 a        92     0     2     1    42
  1.3287783753045021E+01 a        93     0     2     1    43
 -1.1032890499349625E+02 a        94     0     2     1    44
 -7.5806997327811398E+00 a        95     0     2     1    45
 -3.8229011898257284E+00 a        96     0     2     1    46
 -3.5365507126866440E+00 a        97     0     2     1    47
 -2.4080698468010198E+00 a        98     0     2     1    48
 -1.1686927080816618E+02 a        99     0     2     1    49
 -4.5000565929524946E+01 a       100     0     2     1    50
  2.2965117839804119E+01 a       101     0     3     1     1
  1.5314784174035045E+01 a       102     0     3     1     2
  3.4059149965404522E+01 a       103     0     3     1     3
 -1.7438543866850264E+01 a       104     0     3     1     4
  2.0011501193522838E+02 a       105     0     3     1     5
  1.1150080300378203E+01 a       106     0     3     1     6
 -3.5406622807412913E+00 a       107     0     3     1     7
  6.9972195943082198E+00 a       108     0     3     1     8
 -1.1857027300705418E+01 a       109     0     3     1     9
 -1.7497843109872271E+01 a       110     0     3     1    10
  1.9286245436390577E+00 a       111     0     3     1    11
 -1.9003987023712847E+00 a       112     0     3     1    12
 -6.9512440552038894E+00 a       113     0     3     1    13
 -9.0982021396429857E+00 a       114     0     3     1    14
  1.5643252508301970E+01 a       115     0     3     1    15
  7.4051195347466070E+00 a       116     0     3     1    16
  1.8325207316965844E+01 a       117     0     3     1    17
  1.2343858315632497E+00 a       118     0     3     1    18
 -1.7425694995267114E+02 a       119     0     3     1    19
  8.8249068148642387E+00 a       120     0     3     1    20
  4.6298481205400591E+01 a       121     0     3     1    21
  1.4456899466845147E+01 a       122     0     3     1    22
  3.1807637029627283E+01 a       123     0     3     1    23
  1.3624939403790913E+02 a       124     0     3     1    24
  1.1975681363504282E+01 a       125     0     3     1    25
  9.2259516458817969E-02 a       126     0     3     1    26
 -5.0298973647722258E+00 a       127     0     3     1    27
  8.1877192942979065E+00 a       128     0     3     1    28
  4.0145120108838071E+01 a       129     0     3     1    29
 -6.4374131358885931E+00 a       130     0     3     1    30
 -3.0171167781963888E+00 a       131     0     3     1    31
 -1.7860615137596593E+01 a       132     0     3     1    32
 -1.4995349960337867E+01 a       133     0     3     1    33
  1.5182229773742011E+00 a       134     0     3     1    34
 -9.6680492091858667E+01 a       135     0     3     1    35
  2.5946746480428867E+01 a       136     0     3     1    36
 -7.4440763626097546E+00 a       137     0     3     1    37
 -2.8573525737782393E+00 a       138     0     3     1    38
  7.8082658153937627E+00 a       139     0     3     1    39
  3.4136604479522362E+01 a       140     0     3     1    40
  3.7786536919454035E+00 a       141     0     3     1    41
 -4.4508088203491730E-01 a       142     0     3     1    42
  1.8896124634299998E+01 a       143     0     3     1    43
 -1.8736200553197040E+02 a       144     0     3     1    44
 -3.9448856578004382E-01 a       145     0     3     1    45
 -4.7675415788535398E+00 a       146     0     3     1    46
 -7.1858355124301676E+00 a       147     0     3     1    47
  1.6209895496139037E+01 a       148     0     3     1    48
 -1.8715921928777536E+02 a       149     0     3     1    49
 -5.0951964845021074E+01 a       150     0     3     1    50
 -2.0666037138805155E+01 a       151     0     4     1     1
  1.7028764293561956E+01 a       152     0     4     1     2
 -1.9217091717831703E+01 a       153     0     4     1     3
  4.9812828326485947E+00 a       154     0     4     1     4
 -3.3544556407966716E+01 a       155     0     4     1     5
  5.7882137964989342E+00 a       156     0     4     1     6
 -1.3624238993224248E+01 a       157     0     4     1     7
 -2.7058566319304016E+00 a       158     0     4     1     8
  1.3834111070983214E+01 a       159     0     4     1     9
 -1.8885542102772476E+01 a       160     0     4     1    10
  4.5690510132409790E+00 a       161     0     4     1    11
 -4.8989322221196794E+00 a       162     0     4     1    12
  2.4885908539090259E+01 a       163     0     4     1    13
  2.3071915172338098E+01 a       164     0     4     1    14
 -1.2888507242421767E+01 a       165     0     4     1    15
 -7.1450244027898409E+00 a       166     0     4     1    16
 -3.2864732887802726E+00 a       167     0     4     1    17
 -2.5272824370158350E+01 a       168     0     4     1    18
  3.2608035956427479E+01 a       169     0     4     1    19
  1.3619898673181703E+01 a       170     0     4     1    20
 -1.5077536870780310E+01 a       171     0     4     1    21
 -2.1030555252611713E+01 a       172     0     4     1    22
 -3.6060533133071175E+01 a       173     0     4     1    23
 -3.4414040978184467E+01 a       174     0     4     1    24
 -5.6279802690081819E+00 a       175     0     4     1    25
  3.8956448507845320E+00 a       176     0     4     1    26
 -2.2139649097881922E+01 a       177     0     4     1    27
 -9.1513484947598354E+00 a       178     0     4     1    28
 -4.9147740828840767E+01 a       179     0     4     1    29
  6.1011725810006983E+00 a       180     0     4     1    30
 -5.7967017361746620E-01 a       181     0     4     1    31
  3.2490649985822619E+00 a       182     0     4     1    32
  4.7696040688724377E+00 a       183     0     4     1    33
  1.7953965478794661E+01 a       184     0     4     1    34
  1.6824248037250225E+01 a       185     0     4     1    35
 -1.4704154548761746E+01 a       186     0     4     1    36
  3.1062208728671408E+01 a       187     0     4     1    37
  7.8494412551344626E+00 a       188     0     4     1    38
  1.0212198035289499E+00 a       189     0     4     1    39
 -4.2919913544765990E+01 a       190     0     4     1    40
  3.5759134771047224E-01 a       191     0     4     1    41
 -2.2036849440921902E+00 a       192     0     4     1    42
 -9.2649718006199411E+00 a       193     0     4     1    43
  5.3883317593601056E+01 a       194     0     4     1    44
 -7.0506810024369901E+00 a       195     0     4     1    45
 -5.2295265880963060E-01 a       196     0     4     1    46
 -5.1150111314594793E-01 a       197     0     4     1    47
 -1.7727813120663804E+01 a       198     0     4     1    48
  2.7400486548513513E+01 a       199     0     4     1    49
 -1.6073521296310279E+01 a       200     0     4     1    50
  5.3691652894215821E+01 a       201     0     5     1     1
  2.4898582322541487E+00 a       202     0     5     1     2
  6.0256345870743559E+01 a       203     0     5     1     3
 -2.6047625446497289E+01 a       204     0     5     1     4
  2.4462795126690733E+02 a       205     0     5     1     5
  1.0797765047380290E+01 a       206     0     5     1     6
  7.6143663409637448E+00 a       207     0     5     1     7
  1.0988537508529141E+01 a       208     0     5     1     8
 -2.9132189766499504E+01 a       209     0     5     1     9
 -3.1331287342437419E+00 a       210     0     5     1    10
 -2.3872052955852223E+00 a       211     0     5     1    11
  8.9452493764521379E-01 a       212     0     5     1    12
 -2.8736293664780248E+01 a       213     0     5     1    13
 -3.1214877781439149E+01 a       214     0     5     1    14
  3.7409566947928269E+01 a       215     0     5     1    15
  1.5512956080904450E+01 a       216     0     5     1    16
  2.2639654910900834E+01 a       217     0     5     1    17
  2.4044577548922693E+01 a       218     0     5     1    18
 -2.1776251970392224E+02 a       219     0     5     1    19
  2.5764647379737682E-01 a       220     0     5     1    20
