################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   3.5096396166533225E+01   1.0294711050501423E+01   2.3598578330524407E+00
         1          2   0.0000000000000000E+00   3.5238738989741719E+01   1.0348325536065440E+01   2.3730006937651740E+00
         1          3   0.0000000000000000E+00   3.3433281419302034E+01   9.7312745492398047E+00   2.2301379603112479E+00
         1          4   0.0000000000000000E+00   3.4791748556774976E+01   1.0243238996656283E+01   2.3558321403136784E+00
         1          5   0.0000000000000000E+00   3.0151573835193279E+01   8.6281355268927964E+00   1.9763808937819107E+00
         1          6   0.0000000000000000E+00   3.3889155496530606E+01   1.0019136022997214E+01   2.3191002399166298E+00
         1          7   0.0000000000000000E+00   2.6106857057937734E+01   7.2876951918066650E+00   1.6683114180105441E+00
         1          8   0.0000000000000000E+00   3.2908700014841834E+01   9.7057174513416697E+00   2.2673191495391727E+00
         1          9   0.0000000000000000E+00   2.1938203394576057E+01   5.9352162932865724E+00   1.3576901750864914E+00
         1         10   0.0000000000000000E+00   3.1689881570240221E+01   9.3260288398276980E+00   2.2036147749209327E+00
         1         11   0.0000000000000000E+00   3.1650307592759443E+01   9.0843933818717826E+00   2.1527631318599263E+00
         1         12   0.0000000000000000E+00   2.3262669463081696E+01   7.0387840007722868E+00   1.6875373023151063E+00
         1         13   0.0000000000000000E+00   2.9243319827277173E+01   8.1328122861850680E+00   2.0022754512606187E+00
         1         14   0.0000000000000000E+00   1.7143367577989427E+01   5.3581659813263371E+00   1.3005508422667194E+00
         1         15   0.0000000000000000E+00   2.5872714236384791E+01   6.7955887005814066E+00   1.8164992385014100E+00
