################################################################################
# Statistics for individual neurons gathered during RMSE calculation.
################################################################################
# Col  Name    Description
################################################################################
# 1    element Element index.
# 2    neuron  Neuron number.
# 3    count   Number of neuron value computations.
# 4    min     Minimum neuron value encounterd.
# 5    max     Maximum neuron value encounterd.
# 6    mean    Mean neuron value.
# 7    sigma   Standard deviation of neuron value.
####################################################################################################
#        1          2          3                4                5                6                7
#  element     neuron      count              min              max             mean            sigma
####################################################################################################
         1         66      19806  -3.99011807E-01   3.45399768E-01   7.73284126E-16   1.00183698E-01
         1         67      19806  -4.99452085E-01   4.04221089E-01  -2.07753412E-16   1.19078412E-01
         1         68      19806  -1.38706366E+00   7.77465058E-01  -2.86916922E-15   2.76996304E-01
         1         69      19806  -1.04053941E+00   4.83598332E-01  -2.52361889E-16   2.01611296E-01
         1         70      19806  -3.76721443E-01   3.62399786E-01   2.81455705E-15   8.75490456E-02
         1         71      19806  -3.45353755E-01   2.34577186E-01   1.73757176E-15   7.73455375E-02
         1         72      19806  -9.29565826E-01   9.18559731E-01   1.46824557E-16   2.19942263E-01
         1         73      19806  -5.03079637E-01   4.95948402E-01   1.36832774E-16   1.16629283E-01
         1         74      19806  -2.25235621E-01   2.53460532E-01   2.42232911E-15   6.50216886E-02
         1         75      19806  -2.23102556E-01   1.04537937E-01   3.47546987E-15   3.30657001E-02
         1         76      19806  -3.89293263E-01   1.56909509E-01   1.22061086E-15   3.95185515E-02
         1         77      19806  -9.01481046E-01   8.10171146E-01   2.60381100E-15   2.23125098E-01
         1         78      19806  -2.29876732E-01   5.36976299E-01  -6.62271914E-15   7.68818305E-02
         1         79      19806  -1.14993435E+00   7.85422057E-01  -5.04366147E-15   2.50215404E-01
         1         80      19806  -1.41847753E-01   1.80278701E-01  -3.44063649E-16   3.68965350E-02
         1         81      19806  -1.38203616E+00   7.00100860E-01   2.04254467E-15   2.75627693E-01
         1         82      19806  -7.01932008E-01   4.67798634E-01  -1.56084683E-15   1.67294789E-01
         1         83      19806  -7.23278361E-01   1.66703968E-01   1.59831602E-15   7.78712960E-02
         1         84      19806  -6.17892042E-01   9.68166874E-01  -9.22621343E-16   2.08325268E-01
         1         85      19806  -1.70960983E-01   7.95660557E-02  -1.73611959E-15   2.88112038E-02
         1         86      19806  -2.62369880E-01   2.77378692E-01  -4.29317207E-15   5.76077896E-02
         1         87      19806  -3.29814216E-01   4.00814853E-01   3.30705876E-15   9.02921957E-02
         1         88      19806  -3.50671138E-01   1.67304247E-01  -2.43734622E-15   6.34309046E-02
         1         89      19806  -3.86768596E-01   1.34532075E-01   5.72745117E-15   4.91305492E-02
         1         90      19806  -2.38351226E-01   1.33791733E-01  -3.03073130E-15   4.24145159E-02
         1         91      19806  -6.84494685E-01   1.31442423E+00  -1.76793179E-15   2.62309752E-01
         1         92      19806  -5.30747730E-01   8.78121102E-01  -6.80102692E-16   1.81565035E-01
         1         93      19806  -2.22296397E-01   3.48625357E-01  -1.22527157E-05   6.72442480E-02
         1         94      19806  -3.61416923E-01   6.82833362E-01  -1.93906487E-03   1.39445862E-01
         1         95      19806  -1.28577043E-01   2.84277013E-01  -1.38749710E-03   5.28273681E-02
         1         96      19806  -4.23745869E-01   6.63872392E-01   8.39451420E-05   1.36785313E-01
         1         97      19806  -9.19148510E-01   5.39107774E-01   1.21195862E-04   2.14616797E-01
         1         98      19806  -4.42502835E-01   5.70598911E-01   4.72352159E-05   1.24557233E-01
         1         99      19806  -1.10399255E+00   7.42262173E-01  -1.27940717E-05   2.59595022E-01
         1        100      19806  -5.11980535E-01   3.87040528E-01   1.74650753E-03   1.36565554E-01
         1        101      19806  -1.47838198E-01   1.69565370E-01   7.63502711E-04   4.81487118E-02
         1        102      19806  -2.32184958E-01   2.24297014E-01  -1.07026555E-03   6.16729476E-02
         1        103      19806  -3.17894441E-01   4.24227179E-01  -7.73121413E-04   9.75492133E-02
         1        104      19806  -3.09343243E-01   4.08621806E-01   8.83536207E-04   1.09591848E-01
         1        105      19806  -9.36702508E-02   2.42931054E-01   2.23210922E-04   3.75884700E-02
         1        106      19806  -4.55328983E-01   6.41515807E-01   8.38923801E-04   1.51008742E-01
         1        107      19806  -2.47200176E-01   9.57333288E-01  -9.55457878E-05   1.28341869E-01
         1        108      19806  -2.22856595E-01   2.37409337E-01  -1.45644452E-04   5.01044760E-02
         1        109      19806  -2.09043069E-01   2.51289207E-01  -8.32038837E-05   6.36610566E-02
         1        110      19806  -1.85642669E-01   1.97345669E-01   5.11158206E-04   5.08836592E-02
         1        111      19806  -1.48750397E-01   1.74119850E-01   3.31970883E-04   3.38956718E-02
         1        112      19806  -2.20733404E-01   1.66988007E-01   2.27379805E-04   4.91389081E-02
         1        113      19806  -1.61123860E-01   2.86820393E-01  -5.57809921E-04   5.25809249E-02
         1        114      19806  -7.06998038E-01   3.03033120E-01   2.53832274E-05   1.32300130E-01
         1        115      19806  -3.49695256E-01   4.84243760E-01  -1.38510461E-03   9.80933923E-02
         1        116      19806  -1.00198125E+00   1.14719858E+00  -5.89271244E-07   3.18506126E-01
         1        117      19806  -2.25845848E-01   3.49835519E-01  -7.99360939E-04   9.47237290E-02
         1        118      19806  -2.41098925E-01   4.21776323E-01  -1.59286866E-03   9.48222606E-02
         1        119      19806  -5.60541243E-01   1.20220532E+00  -7.83860330E-04   2.33849369E-01
         1        120      19806  -2.81557949E-01   6.64285674E-01  -1.48086767E-03   1.34764726E-01
         1        121      19806  -4.58451769E-01   5.19176223E-01  -6.81282745E-04   1.27556659E-01
