################################################################################
# Energy comparison.
################################################################################
# Col  Name  Description
################################################################################
# 1    index Structure index.
# 2    Eref  Reference potential energy per atom (training units).
# 3    Ennp  NNP potential energy per atom (training units).
################################################################################
#        1                2                3
#    index             Eref             Ennp
############################################
       161   3.34881550E-01   2.64805264E-02
       162   1.15213390E-01   5.19040395E-02
       163   3.19761837E-01   3.13666429E-02
       164   2.64743031E-01   6.10336029E-02
       165   1.07299141E-01   1.29826462E-02
       166   5.76096315E-01   4.81890702E-02
       167   1.11154724E-01   4.60363900E-02
       168   5.05892510E-01   3.08279908E-02
       169   3.99299055E-01   4.04052114E-03
       170   2.12539964E-01  -1.28565676E-02
       171   1.42101796E-02  -5.11952873E-03
       172  -3.03690388E-02  -5.29057605E-03
       173  -3.06343479E-02   4.33851623E-02
       174   3.17248947E-01  -3.54677246E-02
       175   3.40215500E-01  -1.38120752E-02
       176   2.47904057E-01   7.42944197E-02
       177  -8.59968760E-02   4.80021073E-02
       178   1.62149688E-01  -1.41127504E-03
       180   1.10187158E-01  -2.59564007E-02
       181   5.62973343E-02   1.89566718E-02
       182   3.57172910E-01  -4.96898247E-03
       183  -9.45714691E-02   7.15571732E-03
       185   1.44868854E-01   4.71828188E-02
       186   2.71742198E-01   3.13208164E-02
       187   1.66354436E-02   2.13837616E-02
       188   5.11141235E-01   5.31610049E-03
       189  -7.10615241E-02   7.19872153E-03
       190   3.97770133E-01   1.56624737E-02
       191  -6.78220123E-02   1.48372230E-02
       192   3.31299022E-02   3.08054518E-02
       193   2.43916063E-01   3.30199449E-02
       194  -4.46040921E-01   2.08090485E-02
       195   2.08528886E-01   3.75826868E-02
       196  -1.69414930E-01  -2.56166720E-02
       198  -4.46280053E-03   5.37454307E-02
       199  -1.54457403E-02   7.55422949E-03
       200   5.67117679E-02   7.88103625E-03
       201  -3.15255768E-01   1.94135864E-02
       202  -1.92960828E-01   2.55333284E-03
       203  -2.98927586E-02   5.48320492E-04
       204   1.75354064E-01  -2.86963057E-02
       205  -2.62352949E-01  -3.59135160E-02
       206   1.05727000E-01  -2.36591705E-02
       207   8.18603496E-01  -1.04313103E-02
       208   8.98804725E-02   1.78021697E-03
       209   3.01005275E-01  -3.59052395E-02
       210   1.67730280E-01  -1.02007387E-02
       211   4.09122978E-01   1.91012883E-02
       212  -3.31483662E-03   2.58070453E-02
       213   6.15543717E-02   3.28624424E-02
       214  -3.33647863E-01   1.74650572E-02
       215  -2.68409891E-03   2.37760200E-02
       216   2.28440959E-01   4.76793970E-02
       217   1.17699419E-01   1.61549822E-02
       218   1.36229386E-01   1.12574376E-02
       219  -1.39939921E-01   1.51743650E-02
       220  -1.57325638E-01   3.82585861E-02
       221   2.83201452E-01   1.77349650E-02
       222  -3.19979244E-01   3.92257682E-03
       223   3.22119645E-02  -1.41657815E-02
       224  -2.58585157E-01   1.89732274E-02
       225   7.38155327E-02   3.72759482E-02
       226   5.79607729E-01   1.57984427E-02
       227   1.88735982E-01  -5.59387107E-02
       228   7.88900930E-02   3.83231297E-03
       229  -5.37268893E-02   2.00651406E-02
       230  -3.27381318E-01  -2.34203053E-02
       231  -4.97971216E-02   4.20580949E-03
       232   2.36523826E-01   2.30326798E-02
       233  -9.26774177E-03  -9.03308398E-03
       234   7.46000421E-02  -5.53558169E-03
       235  -8.85910087E-02  -2.41704187E-02
       236  -8.90348065E-02   5.28474149E-02
       237   2.03759374E-01  -4.75833243E-02
       238  -1.02091486E-01  -4.15324392E-02
       239   1.12698019E-01  -5.35965646E-02
       240   3.06417354E-01  -5.54926085E-03
       241  -1.41114752E-01  -3.85988744E-02
       242  -4.80449862E-02   1.21587279E-02
       243  -1.21243035E-01   2.04905779E-02
       244  -2.91801542E-01   1.25344991E-03
       245   1.09984203E-01  -2.50793494E-03
       246   3.84013016E-01   3.94358211E-02
       247   1.02470076E-01  -8.78848179E-03
       248  -2.49344282E-01   4.41312657E-03
       249   1.43535604E-01  -5.22030180E-03
       250   5.09578358E-02  -1.18120707E-03
       251   2.46715608E-01   1.71496401E-02
       252   1.53244478E-01  -1.49235860E-02
       253   4.02515281E-01   6.36003392E-03
       254  -1.04904611E-01  -3.10896515E-02
       255   1.88852218E-01   5.16450262E-03
       256  -3.23615260E-01  -1.58172950E-02
       258   3.30135716E-01  -3.00737758E-02
       259   1.34959482E-01   4.13123387E-03
       260   8.06347065E-02  -3.17565094E-02
       261  -1.23460326E-01  -2.33169175E-03
       262  -3.10391718E-01   1.07419320E-02
       263  -2.70444070E-01   7.61708996E-03
       264  -3.25315552E-01   6.34602359E-03
       265  -4.64925090E-01  -2.19173055E-02
       266   8.64831839E-02  -4.36640691E-02
       267  -3.49780511E-01  -1.17517631E-02
       268   1.14140844E-01  -3.11543322E-03
       269   1.00677653E-01   1.77464387E-02
       270   3.42029995E-01   1.48200278E-02
       271  -1.80774899E-01  -1.20890712E-02
       272   1.46722151E-02  -7.86576516E-03
       273  -1.43428649E-01  -2.72442342E-02
       274   3.98268624E-01  -7.70964586E-02
       275  -1.79115350E-01  -3.13139591E-02
       276   4.35386968E-01  -5.22872388E-02
       277   2.69818817E-01  -4.58293433E-02
       278   1.66482196E-02  -2.05378538E-02
       279  -7.97362525E-03   6.40550474E-03
       280  -2.31861837E-01  -1.84003160E-02
       281  -2.84637225E-01   3.63387370E-03
       282  -2.53852084E-01  -1.11442840E-02
       283   2.89313028E-01  -7.34506236E-03
       284   8.92990634E-04   3.77322925E-02
       285  -2.24763429E-01  -4.57916819E-02
       286  -1.75196974E-01   5.44017510E-03
       287  -1.05005320E-01  -1.48151766E-02
       288   1.34111947E-01  -3.00784570E-02
       289  -4.11849366E-02  -7.51171921E-03
       290  -2.97133136E-01  -2.91207915E-02
       291  -8.44963998E-02   2.16960390E-02
       292   4.39445221E-01  -7.01550464E-03
       293   2.53229754E-01   4.07790951E-02
       294  -1.66659215E-01  -1.45574940E-02
       295  -1.86809114E-01   4.98144741E-02
       296  -5.96032615E-02   2.75160621E-03
       298  -4.31006840E-02   2.59001664E-03
