begin
comment generated by PY
lattice        11.4200000000         0.0000000000         0.0000000000
lattice         0.0000000000        10.5800000000         0.0000000000
lattice         0.0000000000         0.0000000000        13.1400000000
atom         7.3659700000        5.5687400000       11.6534000000 H         0.0000000000         0.0000000000        34.4401742492      125.2250844311      -39.6697809357
atom         7.4634200000        3.4594600000       12.4176000000 H         0.0000000000         0.0000000000        88.9807077378      -19.7372435128       95.8219495435
atom         3.7010700000        7.5080000000        1.0660400000 H         0.0000000000         0.0000000000       -82.0552631749       29.8717831888      -96.2613914330
atom         9.5105000000        6.8555500000        4.4731500000 H         0.0000000000         0.0000000000       -70.8936801664       37.6254827898      104.9489125542
atom         2.0499300000        3.4170800000        8.1934200000 H         0.0000000000         0.0000000000        77.3999322032      -29.3954458456     -101.2134277378
atom         3.7602100000        6.8512300000        7.9005900000 H         0.0000000000         0.0000000000       -71.1485489488       16.7519498203     -107.6267199407
atom         8.0722600000        1.6993800000        5.1229400000 H         0.0000000000         0.0000000000        58.3739846002       32.4143516577      110.5035026302
atom         1.7480900000        2.0529500000        1.4149600000 H         0.0000000000         0.0000000000        89.5790808999       53.9575008089      -74.2844569094
atom         9.2081100000        8.7282800000       11.0273000000 H         0.0000000000         0.0000000000       -61.3980571230       -7.1615619606      109.6444224986
atom         7.7107100000        3.4702600000        1.0628600000 H         0.0000000000         0.0000000000        65.9174605335      -23.3651369019     -117.0767006091
atom         3.5468200000        7.4542500000       12.4256000000 H         0.0000000000         0.0000000000       -71.2505785393       38.5830214196      109.6603611112
atom         9.4712300000        7.2448700000        6.2816200000 H         0.0000000000         0.0000000000       -70.8466560915       -8.5341363204     -120.7991473780
atom         2.1477600000        3.3036600000        6.3903700000 H         0.0000000000         0.0000000000        72.7173390522      -19.1419636373      115.2991959267
atom         3.6827600000        6.8495800000        6.0634300000 H         0.0000000000         0.0000000000       -69.2638794322       17.2539655583      118.7060751805
atom         7.9382700000        1.7626000000        6.9377700000 H         0.0000000000         0.0000000000        82.3258312684       28.6231176780     -106.4423931011
atom         2.0013000000        2.7407900000       12.9177000000 H         0.0000000000         0.0000000000        64.8486034219      -26.1168970684      118.1969610878
atom         9.2716600000        9.1745700000       12.7621000000 H         0.0000000000         0.0000000000       -81.7287154380      -61.9450814383      -92.4281284281
