################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.9609531527571651E+01 a         1     0     1     1     1
  1.7972832230146995E+01 a         2     0     1     1     2
 -3.6873988976224794E+01 a         3     0     1     1     3
  2.6698321500643073E+02 a         4     0     1     1     4
  8.1517906533316264E+01 a         5     0     1     1     5
 -5.1932356979263638E+01 a         6     0     1     1     6
 -1.3621546869419550E+01 a         7     0     1     1     7
  6.7613277030073178E+01 a         8     0     1     1     8
 -2.0668192750060498E+01 a         9     0     1     1     9
  9.8473967647134286E-01 a        10     0     1     1    10
 -4.6748026493771746E+01 a        11     0     1     1    11
  1.0255689819328447E+02 a        12     0     1     1    12
  1.2036422593460077E+02 a        13     0     1     1    13
  4.7488134454022054E+02 a        14     0     1     1    14
  1.1342414093915048E+02 a        15     0     1     1    15
  7.0790680852488741E+00 a        16     0     1     1    16
 -6.3458794309471021E+00 a        17     0     1     1    17
 -2.8690503591665880E+01 a        18     0     1     1    18
  4.6334515402057320E+01 a        19     0     1     1    19
 -3.2753510612726828E+01 a        20     0     1     1    20
 -1.0208695606974850E+01 a        21     0     1     1    21
 -6.0489071294195753E+01 a        22     0     1     1    22
 -6.3190460155550889E+00 a        23     0     1     1    23
 -6.1723240158223646E+01 a        24     0     1     1    24
 -4.4227658783521584E+01 a        25     0     1     1    25
 -9.3544882821921362E+00 a        26     0     1     1    26
  4.4238768558749854E+02 a        27     0     1     1    27
  3.8148896510594000E+02 a        28     0     1     1    28
  5.5176329105001471E+01 a        29     0     1     1    29
 -1.1496878140492176E+02 a        30     0     1     1    30
 -2.2002987633603937E+01 a        31     0     1     1    31
  1.7535348611871019E+01 a        32     0     1     1    32
 -2.6725630059015035E+01 a        33     0     1     1    33
  4.2929526723628321E+01 a        34     0     1     1    34
  8.1511372341522929E+01 a        35     0     1     1    35
 -4.2858114949008154E+01 a        36     0     1     1    36
  6.1664963182550039E+01 a        37     0     1     1    37
 -5.0689795817510749E+01 a        38     0     1     1    38
  1.6679332694585831E+01 a        39     0     1     1    39
 -3.5054278320436090E+01 a        40     0     1     1    40
 -2.2926559368145863E+01 a        41     0     1     1    41
 -3.4792900854343380E+01 a        42     0     1     1    42
 -5.9629782856255545E+01 a        43     0     1     1    43
  4.4144194916882050E+01 a        44     0     1     1    44
  3.3934771561479351E+01 a        45     0     1     1    45
  4.1953281712315551E+01 a        46     0     1     1    46
  4.2694509081800817E+01 a        47     0     1     1    47
 -1.5869158604759242E+01 a        48     0     1     1    48
  1.4528560184114897E+02 a        49     0     1     1    49
  4.1505923372098962E+01 a        50     0     1     1    50
  2.3400181407374752E+01 a        51     0     2     1     1
  1.5772398287872777E+01 a        52     0     2     1     2
 -2.1742115578243453E+01 a        53     0     2     1     3
  2.5115918598613126E+02 a        54     0     2     1     4
  6.9418658461901586E+01 a        55     0     2     1     5
 -6.9053374445943646E+01 a        56     0     2     1     6
 -1.5985339699500408E+01 a        57     0     2     1     7
  7.0729833405178624E+01 a        58     0     2     1     8
 -2.0893438898366792E+01 a        59     0     2     1     9
  7.7639257186005137E+00 a        60     0     2     1    10
 -3.9073228402558577E+01 a        61     0     2     1    11
  1.0200921491029519E+02 a        62     0     2     1    12
  1.0812357956168064E+02 a        63     0     2     1    13
  4.0322406912640571E+02 a        64     0     2     1    14
  1.0676165210124549E+02 a        65     0     2     1    15
  1.0598255380891310E+01 a        66     0     2     1    16
 -8.2342828341007268E-01 a        67     0     2     1    17
 -3.5305048300249481E+01 a        68     0     2     1    18
  4.5583666852721777E+01 a        69     0     2     1    19
 -3.6219415936260631E+01 a        70     0     2     1    20
 -2.3253638966435664E+00 a        71     0     2     1    21
 -5.7559447034717699E+01 a        72     0     2     1    22
 -4.0064372557920258E+00 a        73     0     2     1    23
 -6.3126005385215464E+01 a        74     0     2     1    24
