################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.7022086709843780E+00 a       116     0     3     1    16
  5.0328172457788571E+02 a       117     0     3     1    17
 -2.7406784636697434E+01 a       118     0     3     1    18
  8.2623402803737619E+01 a       119     0     3     1    19
 -7.1821205359300011E+00 a       120     0     3     1    20
 -8.2348120146447968E+01 a       121     0     3     1    21
 -2.0710136033413164E+01 a       122     0     3     1    22
  9.8703308339832407E+00 a       123     0     3     1    23
 -4.0170244059428825E+01 a       124     0     3     1    24
  4.4137438328220429E+02 a       125     0     3     1    25
  9.5861321884985173E+01 a       126     0     3     1    26
  8.0285878156437875E+01 a       127     0     3     1    27
  2.1639810101926169E+01 a       128     0     3     1    28
 -1.5085502659817712E+01 a       129     0     3     1    29
  2.0038107064275991E+01 a       130     0     3     1    30
 -2.0380398705467794E+01 a       131     0     3     1    31
 -3.8039202122628744E+01 a       132     0     3     1    32
 -5.9508256574259569E+01 a       133     0     3     1    33
  3.9538008432361715E+02 a       134     0     3     1    34
  1.0050623845899832E+01 a       135     0     3     1    35
  2.0567296821046959E+01 a       136     0     3     1    36
  2.3646799283137913E+01 a       137     0     3     1    37
  3.8265838993915315E+02 a       138     0     3     1    38
 -2.4653076426462498E+01 a       139     0     3     1    39
 -1.1691417933894465E+01 a       140     0     3     1    40
  1.2722000441710168E+02 a       141     0     3     1    41
  1.1749016419455769E+02 a       142     0     3     1    42
  1.4531651139881463E-01 a       143     0     3     1    43
  1.1947269336616021E+01 a       144     0     3     1    44
 -1.8372300233014890E+01 a       145     0     3     1    45
  5.4806784992487316E+01 a       146     0     3     1    46
 -2.6138611073723666E+01 a       147     0     3     1    47
 -3.0705656929803837E+01 a       148     0     3     1    48
  5.3824212476022886E+01 a       149     0     3     1    49
  7.0526758018843864E+01 a       150     0     3     1    50
 -3.1005596301944426E+01 a       151     0     4     1     1
 -2.8304515457398345E+01 a       152     0     4     1     2
 -4.2084391414320290E+00 a       153     0     4     1     3
  3.1981044111571812E+01 a       154     0     4     1     4
 -1.4642972194632769E+01 a       155     0     4     1     5
  2.6639332585716751E+01 a       156     0     4     1     6
 -9.1423666296019075E+00 a       157     0     4     1     7
  5.0846814717795406E+00 a       158     0     4     1     8
 -1.2330636885964649E+01 a       159     0     4     1     9
 -1.5687554835255987E+01 a       160     0     4     1    10
  1.5190820832526386E+01 a       161     0     4     1    11
 -2.6658243947199292E+01 a       162     0     4     1    12
 -1.4723600997643798E+01 a       163     0     4     1    13
  7.7825837921615530E+01 a       164     0     4     1    14
 -3.6271371764873415E+01 a       165     0     4     1    15
 -9.7686453804553324E+00 a       166     0     4     1    16
  4.1395721852514527E+01 a       167     0     4     1    17
  5.1373236204597497E+01 a       168     0     4     1    18
 -3.4833887607256443E+01 a       169     0     4     1    19
  4.3632581802359496E+01 a       170     0     4     1    20
  2.5830955081784939E+01 a       171     0     4     1    21
  2.3572198934962486E+01 a       172     0     4     1    22
