################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.8679555282489574E+01 a         1     0     1     1     1
 -2.1757722960568877E+01 a         2     0     1     1     2
  1.2608473485886709E+02 a         3     0     1     1     3
  5.4561888548137439E+01 a         4     0     1     1     4
  3.7492486585891043E+00 a         5     0     1     1     5
  2.7421864157551720E+01 a         6     0     1     1     6
 -5.0063625706250214E+01 a         7     0     1     1     7
  7.3979211573962385E+00 a         8     0     1     1     8
  1.3859630528658210E+01 a         9     0     1     1     9
  1.5791573397200933E+00 a        10     0     1     1    10
 -1.5262436375803130E+01 a        11     0     1     1    11
  1.1890789827469138E+01 a        12     0     1     1    12
  1.4479717046400365E+01 a        13     0     1     1    13
  6.6934882374288648E+01 a        14     0     1     1    14
 -7.3004545859060528E+01 a        15     0     1     1    15
  6.9961476884789704E+01 a        16     0     1     1    16
  1.1125407902086639E+02 a        17     0     1     1    17
  1.0966570369154037E+02 a        18     0     1     1    18
 -3.3197976039161409E+02 a        19     0     1     1    19
  3.1600800217216552E+01 a        20     0     1     1    20
  2.1118542346802691E+00 a        21     0     1     1    21
 -1.7484107981917798E+01 a        22     0     1     1    22
 -5.5604047340135629E+01 a        23     0     1     1    23
  6.8103978139475558E+01 a        24     0     1     1    24
  4.4401042865780028E+01 a        25     0     1     1    25
 -6.8356033411649506E+01 a        26     0     1     1    26
  3.4692831341758773E+02 a        27     0     1     1    27
 -2.8301245189360657E+01 a        28     0     1     1    28
  6.0681280761598089E+01 a        29     0     1     1    29
 -8.1415748459935926E+01 a        30     0     1     1    30
  4.3835050694081929E+02 a        31     0     1     1    31
 -8.1248903738056370E+01 a        32     0     1     1    32
  2.4833954789060890E+01 a        33     0     1     1    33
 -5.4349994779201580E+01 a        34     0     1     1    34
  1.0614966661169465E+01 a        35     0     1     1    35
  8.3047516665908290E+01 a        36     0     1     1    36
  3.2819488436004497E+02 a        37     0     1     1    37
 -1.9693681030538464E+01 a        38     0     1     1    38
  1.8859998976976797E+01 a        39     0     1     1    39
  1.4018755642862788E+01 a        40     0     1     1    40
  4.7469661809549891E+01 a        41     0     1     1    41
 -8.9371864029254866E+01 a        42     0     1     1    42
  3.9840582130529519E+01 a        43     0     1     1    43
 -2.8249966062834524E+01 a        44     0     1     1    44
  2.0648566433606533E+01 a        45     0     1     1    45
  4.7902731141475471E+01 a        46     0     1     1    46
 -6.5520582741145788E+01 a        47     0     1     1    47
  5.1709010599924312E+00 a        48     0     1     1    48
 -3.7535913312970585E+01 a        49     0     1     1    49
 -4.6344222702424588E+01 a        50     0     1     1    50
 -2.4741412139652425E+01 a        51     0     2     1     1
 -2.1606987257021590E+01 a        52     0     2     1     2
  1.2051794003044620E+02 a        53     0     2     1     3
  5.7775454386421757E+01 a        54     0     2     1     4
  5.3054231195142432E+00 a        55     0     2     1     5
  2.0792570172540341E+01 a        56     0     2     1     6
 -4.4120690942220286E+01 a        57     0     2     1     7
  5.6136173375221290E+00 a        58     0     2     1     8
  2.0327860866223883E+01 a        59     0     2     1     9
  1.0078177099862637E+01 a        60     0     2     1    10
 -5.5359298249314675E+00 a        61     0     2     1    11
  6.3705955326655213E+00 a        62     0     2     1    12
  1.0407980419144559E+01 a        63     0     2     1    13
  6.6420208905324643E+01 a        64     0     2     1    14
 -8.8883606982844668E+01 a        65     0     2     1    15
  6.4213519948400815E+01 a        66     0     2     1    16
  8.2762611783532975E+01 a        67     0     2     1    17
  9.2569503550685482E+01 a        68     0     2     1    18
 -2.7987080879079497E+02 a        69     0     2     1    19
  4.1979380669908622E+01 a        70     0     2     1    20
  5.6203803040741223E+00 a        71     0     2     1    21
 -1.2611693422817533E+01 a        72     0     2     1    22
 -6.3014831788333957E+01 a        73     0     2     1    23
  6.6631186938360472E+01 a        74     0     2     1    24
  3.0905268061183069E+01 a        75     0     2     1    25
 -6.0207681409724565E+01 a        76     0     2     1    26
  3.0286780993162188E+02 a        77     0     2     1    27
 -1.7440018967728058E+01 a        78     0     2     1    28
  6.2577455882981027E+01 a        79     0     2     1    29
 -6.4096660925213058E+01 a        80     0     2     1    30
  3.7523250963791230E+02 a        81     0     2     1    31
 -8.2331182388187202E+01 a        82     0     2     1    32
  1.8307973595971195E+01 a        83     0     2     1    33
 -6.0971803627074920E+01 a        84     0     2     1    34
  1.5694930388949752E+01 a        85     0     2     1    35
  8.3368408043737389E+01 a        86     0     2     1    36
  2.6405771667379145E+02 a        87     0     2     1    37
 -1.8405898069413279E+01 a        88     0     2     1    38
  2.1091829378433506E+01 a        89     0     2     1    39
  1.8971324931893793E+01 a        90     0     2     1    40
  4.4930561419303494E+01 a        91     0     2     1    41
 -7.2556871750896192E+01 a        92     0     2     1    42
  2.8011284249743142E+01 a        93     0     2     1    43
 -2.5666885379032003E+01 a        94     0     2     1    44
  3.2808332485780952E+01 a        95     0     2     1    45
  4.4216563583846721E+01 a        96     0     2     1    46
 -6.1384072029984488E+01 a        97     0     2     1    47
  6.9623501819786489E+00 a        98     0     2     1    48
 -2.9787616130356540E+01 a        99     0     2     1    49
 -3.5217815760675599E+01 a       100     0     2     1    50
 -7.4247195014791401E+01 a       101     0     3     1     1
 -1.1068126130941859E+01 a       102     0     3     1     2
  9.6920858163429969E+01 a       103     0     3     1     3
  2.8209824500914753E+01 a       104     0     3     1     4
 -2.9491935412944721E+00 a       105     0     3     1     5
  4.2001443246560797E+01 a       106     0     3     1     6
 -4.5613229734277894E+01 a       107     0     3     1     7
  1.0103779120779491E+01 a       108     0     3     1     8
 -1.7611846719485872E+01 a       109     0     3     1     9
 -3.5627785172209393E+01 a       110     0     3     1    10
 -4.6214550921283362E+01 a       111     0     3     1    11
  2.7178765504379751E+01 a       112     0     3     1    12
  2.2896069219227670E+01 a       113     0     3     1    13
  3.7087411408151532E+01 a       114     0     3     1    14
