################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.9313069098053177E+02 a         1     0     1     1     1
  7.2922360044120410E+01 a         2     0     1     1     2
 -1.0733043402956439E+02 a         3     0     1     1     3
 -2.4739897734000792E+01 a         4     0     1     1     4
 -3.4529393375844529E+02 a         5     0     1     1     5
  3.1980332733241049E+01 a         6     0     1     1     6
  3.6124284316295117E+01 a         7     0     1     1     7
 -1.0589238869151382E+02 a         8     0     1     1     8
  4.6395560092540848E+01 a         9     0     1     1     9
 -9.6596597970840307E+01 a        10     0     1     1    10
 -5.0859228030025037E+02 a        11     0     1     1    11
 -1.5599288742505001E+02 a        12     0     1     1    12
 -1.0532674621176666E+02 a        13     0     1     1    13
  9.0592562261310164E+01 a        14     0     1     1    14
  4.4614073051370369E+01 a        15     0     1     1    15
  1.5141122998708394E+02 a        16     0     1     1    16
 -5.9353100093244116E+01 a        17     0     1     1    17
  2.4994731199783016E-01 a        18     0     1     1    18
 -6.1645003646262971E+01 a        19     0     1     1    19
  6.0043411529855724E+01 a        20     0     1     1    20
 -1.6014020465548267E+01 a        21     0     1     1    21
 -1.7315643712128323E+02 a        22     0     1     1    22
  1.1063715524246321E+02 a        23     0     1     1    23
  1.2986225601131267E+01 a        24     0     1     1    24
 -2.9146438245785253E+00 a        25     0     1     1    25
 -2.1895901390712942E+02 a        26     0     1     1    26
 -1.9444657547870836E+01 a        27     0     1     1    27
  2.6427680901581107E+02 a        28     0     1     1    28
 -3.8676553190847891E+01 a        29     0     1     1    29
 -7.6342953947869475E+01 a        30     0     1     1    30
 -1.8469544278693809E+02 a        31     0     1     1    31
  8.3827498143093081E+01 a        32     0     1     1    32
  1.9889013319930211E+02 a        33     0     1     1    33
  1.0690630572793546E+02 a        34     0     1     1    34
  8.2759215539130864E+01 a        35     0     1     1    35
  7.1492258916936493E+01 a        36     0     1     1    36
 -8.8662128352924555E+01 a        37     0     1     1    37
 -5.3221301812688901E+00 a        38     0     1     1    38
 -4.3438399655715003E+01 a        39     0     1     1    39
 -1.1546738246067810E+02 a        40     0     1     1    40
 -7.3485990456282053E+01 a        41     0     1     1    41
  3.6634779719721695E+02 a        42     0     1     1    42
 -8.1653380767555106E+01 a        43     0     1     1    43
 -1.1830703450290216E+02 a        44     0     1     1    44
  1.9468949447860990E+02 a        45     0     1     1    45
 -1.8979736493115055E+01 a        46     0     1     1    46
  4.7982397591258774E+02 a        47     0     1     1    47
  2.7229682792183269E+01 a        48     0     1     1    48
 -1.7053986301542312E+02 a        49     0     1     1    49
 -9.5477881823783790E+01 a        50     0     1     1    50
 -2.5830058479558380E+02 a        51     0     2     1     1
  5.4960238641350514E+01 a        52     0     2     1     2
 -9.7453254744220089E+01 a        53     0     2     1     3
 -2.9308579067746901E+01 a        54     0     2     1     4
 -3.2120356831143664E+02 a        55     0     2     1     5
  3.5694925838748027E+01 a        56     0     2     1     6
  3.4194339974453023E+01 a        57     0     2     1     7
 -7.9565488116504369E+01 a        58     0     2     1     8
  5.4431566187357546E+01 a        59     0     2     1     9
 -9.7749099494521204E+01 a        60     0     2     1    10
 -4.7318165812324071E+02 a        61     0     2     1    11
 -1.3686769612390913E+02 a        62     0     2     1    12
 -1.0193152704527832E+02 a        63     0     2     1    13
  9.1397665185396178E+01 a        64     0     2     1    14
  5.3113107535008922E+01 a        65     0     2     1    15
  1.3229082119675067E+02 a        66     0     2     1    16
 -4.9262242303489153E+01 a        67     0     2     1    17
  4.1555973189096616E+00 a        68     0     2     1    18
 -6.7950719000227650E+01 a        69     0     2     1    19
  5.6721091441655815E+01 a        70     0     2     1    20
 -2.1029660166575930E+01 a        71     0     2     1    21
 -1.4881927885542976E+02 a        72     0     2     1    22
  1.0486233415091034E+02 a        73     0     2     1    23
  1.9521726970558728E+01 a        74     0     2     1    24
