################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   1.6029680172908716E+01   1.0072878819674930E+01   1.8384012827996716E+00
         1          2   0.0000000000000000E+00   1.6112847216903557E+01   1.0124667368898088E+01   1.8489336265219807E+00
         1          3   0.0000000000000000E+00   1.5175844656982983E+01   9.5250568125884811E+00   1.7337134761532513E+00
         1          4   0.0000000000000000E+00   1.5972636961932208E+01   1.0019586362789768E+01   1.8341298266475552E+00
         1          5   0.0000000000000000E+00   1.3490808327973884E+01   8.4521619758716611E+00   1.5310072011737470E+00
         1          6   0.0000000000000000E+00   1.5671316283183458E+01   9.7958034790168362E+00   1.8030321332216817E+00
         1          7   0.0000000000000000E+00   1.1414417137338404E+01   7.1478187605294377E+00   1.2891747150207764E+00
         1          8   0.0000000000000000E+00   1.5244167578396619E+01   9.4835603251939666E+00   1.7605142276929853E+00
         1          9   0.0000000000000000E+00   9.4199019825331600E+00   5.8309590100515365E+00   1.0509899087010779E+00
         1         10   0.0000000000000000E+00   1.4716593177509537E+01   9.1064859573484398E+00   1.7102777332428316E+00
         1         11   0.0000000000000000E+00   1.4520323787923676E+01   8.8849522008459587E+00   1.6431855844428793E+00
         1         12   0.0000000000000000E+00   1.0964785734941685E+01   6.8588852813865691E+00   1.3439739489978964E+00
         1         13   0.0000000000000000E+00   1.3348617695176317E+01   7.9491689404830677E+00   1.5032491289738279E+00
         1         14   0.0000000000000000E+00   8.5638213256580134E+00   5.2138758563450844E+00   1.0808631880000887E+00
         1         15   0.0000000000000000E+00   1.1746510522097202E+01   6.6299435919020269E+00   1.3334224906892729E+00
         1         16   0.0000000000000000E+00   5.9911484137355400E+00   3.5954066985208910E+00   8.0490221009929941E-01
         1         17   0.0000000000000000E+00   9.8108376714597796E+00   4.5743236565956726E+00   1.1366709456217690E+00
         1         18   0.0000000000000000E+00   3.5732813016515097E+00   1.9834703948908006E+00   5.0226461272559553E-01
         1         19   0.0000000000000000E+00   9.2798374364241205E+00   3.9577406446781147E+00   1.0885067548339211E+00
         1         20   0.0000000000000000E+00   3.1643570604003664E+00   1.6390185304389626E+00   4.3088660171504017E-01
         1         21   0.0000000000000000E+00   2.2748246905376339E+00   5.0733311356463273E-01   2.8535743876641917E-01
         1         22   0.0000000000000000E+00   7.3328462680118260E+00   2.4915496678611029E+00   6.7999054753117372E-01
         1         23   0.0000000000000000E+00   2.0072321133045921E+00   3.6845076642282876E-01   2.2556857374613712E-01
         1         24   0.0000000000000000E+00   6.2918027858729575E+00   2.1456098957150873E+00   5.7694874037422850E-01
         1         25   0.0000000000000000E+00   2.0868589183608921E+00   4.3954797512353372E-01   2.5399983444503943E-01
         1         26   0.0000000000000000E+00   6.4416164656250272E+00   2.1708397885615893E+00   5.9720209290178705E-01
         1         27   0.0000000000000000E+00   1.8559731063855571E+00   3.1979535129059194E-01   2.0136873815792175E-01
         1         28   0.0000000000000000E+00   5.5312858704456005E+00   1.8718539824750728E+00   5.0729174043643777E-01
         1         29   0.0000000000000000E+00   3.5858618486255196E+00   9.8052682155744486E-01   4.2812788323706397E-01
         1         30   0.0000000000000000E+00   3.5858618486255196E+00   9.8052682155744486E-01   4.2812788323706397E-01
         1         31   0.0000000000000000E+00   7.1992353185820344E+00   2.4097497569343904E+00   7.0778322927696236E-01
         1         32   0.0000000000000000E+00   7.1992353185820344E+00   2.4097497569343904E+00   7.0778322927696236E-01
         1         33   0.0000000000000000E+00   2.1939768528457337E+00   4.9742009412221883E-01   2.6959084581116155E-01
         1         34   0.0000000000000000E+00   5.8170110611461014E+00   1.9266430294991654E+00   5.4977513805594325E-01
