################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  7.0893743850616273E+00 a       117     0     3     1    17
 -6.3909841394176778E+00 a       118     0     3     1    18
  1.7584056387977125E+00 a       119     0     3     1    19
  2.1937011320701551E+01 a       120     0     3     1    20
  3.4429248201201181E+00 a       121     0     3     1    21
  7.1910374290592338E-01 a       122     0     3     1    22
  7.0530988635902467E+00 a       123     0     3     1    23
  1.8489493495286766E+01 a       124     0     3     1    24
  1.9263069460081466E+00 a       125     0     3     1    25
  9.7874826920947855E-01 a       126     0     3     1    26
 -6.4300578097628103E+00 a       127     0     3     1    27
  8.9023060135933942E+00 a       128     0     3     1    28
 -1.2777820604305507E+01 a       129     0     3     1    29
  1.5785116426124821E+01 a       130     0     3     1    30
  2.7716002667619366E-01 a       131     0     3     1    31
 -7.6790997800098215E-01 a       132     0     3     1    32
 -1.5647338654698175E+00 a       133     0     3     1    33
  4.0833441229240008E-01 a       134     0     3     1    34
  4.6331146685472685E-01 a       135     0     3     1    35
  2.6605166232003423E+00 a       136     0     3     1    36
 -5.9207713870736880E+00 a       137     0     3     1    37
 -5.3366178563528222E-01 a       138     0     3     1    38
 -5.2386430963370478E-01 a       139     0     3     1    39
 -9.8086069988839455E+00 a       140     0     3     1    40
 -5.7556816343085213E+00 a       141     0     3     1    41
  1.0692003098934155E+01 a       142     0     3     1    42
  1.3436463917951020E+01 a       143     0     3     1    43
 -1.7974793436939350E+01 a       144     0     3     1    44
  2.3483777171846821E+01 a       145     0     3     1    45
 -9.6331991917732329E-01 a       146     0     3     1    46
 -9.5869558710799760E-02 a       147     0     3     1    47
  3.5244952486848695E+00 a       148     0     3     1    48
  4.4329761283428057E+00 a       149     0     3     1    49
  1.6669342435295668E+01 a       150     0     3     1    50
 -3.1135822583512263E+00 a       151     0     4     1     1
  2.1127235018996737E+00 a       152     0     4     1     2
 -5.3738819780902070E+00 a       153     0     4     1     3
 -2.8431465666721230E+00 a       154     0     4     1     4
 -4.2398254065779337E+00 a       155     0     4     1     5
 -1.6129657596874751E+00 a       156     0     4     1     6
 -1.7151265317149067E-01 a       157     0     4     1     7
 -4.6090451460748234E+00 a       158     0     4     1     8
  1.7994583333729999E+00 a       159     0     4     1     9
 -1.1976038375183380E+00 a       160     0     4     1    10
 -2.8780021174207898E-01 a       161     0     4     1    11
  1.6313997280221266E+00 a       162     0     4     1    12
 -3.9972039400042203E-01 a       163     0     4     1    13
  8.9922622558298002E+00 a       164     0     4     1    14
 -3.7331514195871898E+00 a       165     0     4     1    15
 -9.8088901834606246E-01 a       166     0     4     1    16
  4.0206698491132595E+00 a       167     0     4     1    17
  5.1234613632057107E+00 a       168     0     4     1    18
  3.3524441732951931E+00 a       169     0     4     1    19
  1.5518307817778172E+00 a       170     0     4     1    20
 -5.8239121978404873E-01 a       171     0     4     1    21
 -4.7103798579296976E+00 a       172     0     4     1    22
  4.1247879058612869E+00 a       173     0     4     1    23
 -2.8405369969419372E+00 a       174     0     4     1    24
 -2.2989999260767369E+00 a       175     0     4     1    25
 -3.4840167760728714E-02 a       176     0     4     1    26
 -2.0546280958901599E+00 a       177     0     4     1    27
  8.9061038615611459E+00 a       178     0     4     1    28
  4.1452549885324244E+00 a       179     0     4     1    29
 -1.8140844125655400E+00 a       180     0     4     1    30
  2.8980437058937620E+00 a       181     0     4     1    31
  3.3741447728245335E+00 a       182     0     4     1    32
  2.2305501228331889E-01 a       183     0     4     1    33
  9.2718513247946632E-01 a       184     0     4     1    34
 -1.6357448157960508E+00 a       185     0     4     1    35
 -3.7995047974967999E-02 a       186     0     4     1    36
  2.0535342218952661E+00 a       187     0     4     1    37
  2.7386718408615875E+00 a       188     0     4     1    38
 -1.4729587682596166E+00 a       189     0     4     1    39
  6.5152468022819310E+00 a       190     0     4     1    40
 -2.2138556451922584E+00 a       191     0     4     1    41
 -3.3560787883508216E+00 a       192     0     4     1    42
 -4.7394155958125248E+00 a       193     0     4     1    43
  2.4925699091072224E+00 a       194     0     4     1    44
 -1.3953561057883894E+00 a       195     0     4     1    45
 -1.4242730394128458E-01 a       196     0     4     1    46
  1.6916605067212316E+00 a       197     0     4     1    47
  6.9671826635843415E+00 a       198     0     4     1    48
 -2.8788458268355371E-01 a       199     0     4     1    49
 -6.1479893196188984E+00 a       200     0     4     1    50
  1.0915178095627835E+01 a       201     0     5     1     1
 -1.0935789636391632E+01 a       202     0     5     1     2
  6.0433676771070592E+00 a       203     0     5     1     3
  7.9348974354250066E+00 a       204     0     5     1     4
  3.1291399378095575E+00 a       205     0     5     1     5
  3.2814812931407675E+00 a       206     0     5     1     6
 -8.3216906508493587E+00 a       207     0     5     1     7
  2.4741647234976369E-01 a       208     0     5     1     8
 -2.3082964035617227E+01 a       209     0     5     1     9
  5.8145852651113339E+00 a       210     0     5     1    10
 -3.1645524257636151E+00 a       211     0     5     1    11
  1.1554825263412571E+01 a       212     0     5     1    12
 -1.5026104869051727E+01 a       213     0     5     1    13
 -4.3614282960741679E+00 a       214     0     5     1    14
  2.2742456160274589E+00 a       215     0     5     1    15
  1.2147431387059269E+00 a       216     0     5     1    16
  4.3933670693153424E+00 a       217     0     5     1    17
 -1.2663089430513637E+01 a       218     0     5     1    18
 -6.2217575479495946E-01 a       219     0     5     1    19
  2.0715394272640374E+01 a       220     0     5     1    20
  4.6138641344212470E+00 a       221     0     5     1    21
  6.5814129851750458E+00 a       222     0     5     1    22
  4.8115675428740818E+00 a       223     0     5     1    23
  2.4263167601983405E+01 a       224     0     5     1    24
  6.1729236600168731E+00 a       225     0     5     1    25
  2.5115077477063874E-01 a       226     0     5     1    26
 -6.2574640396815182E+00 a       227     0     5     1    27
  1.1598715057469786E+00 a       228     0     5     1    28
 -1.8264192646508700E+01 a       229     0     5     1    29
  2.0456981417449253E+01 a       230     0     5     1    30
 -1.6101158650979257E+00 a       231     0     5     1    31
 -3.9966888294256169E+00 a       232     0     5     1    32
 -2.0347357559768997E+00 a       233     0     5     1    33
 -2.0601092075735575E-01 a       234     0     5     1    34
  2.9232784441279707E+00 a       235     0     5     1    35
  3.4444679806131742E+00 a       236     0     5     1    36
 -8.6654504351671164E+00 a       237     0     5     1    37
 -3.9884693602760848E+00 a       238     0     5     1    38
  6.0063315083489360E-02 a       239     0     5     1    39
 -1.7413434778702950E+01 a       240     0     5     1    40
 -5.2348931757277812E+00 a       241     0     5     1    41
