################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.4633908494658812E+01 a         1     0     1     1     1
 -1.8304043320243785E+01 a         2     0     1     1     2
 -4.6102705120874043E+00 a         3     0     1     1     3
  1.9310332837275006E+01 a         4     0     1     1     4
  1.4757956900164428E+01 a         5     0     1     1     5
 -9.8208443046530836E-01 a         6     0     1     1     6
 -1.0818844509458000E+01 a         7     0     1     1     7
  6.5435733163020349E-01 a         8     0     1     1     8
  8.1275622091674027E+00 a         9     0     1     1     9
 -5.6489572434446920E+01 a        10     0     1     1    10
  1.5781360497822552E+01 a        11     0     1     1    11
 -8.7961985556134916E+00 a        12     0     1     1    12
  9.5095242075339605E+00 a        13     0     1     1    13
  2.5186605102179659E+01 a        14     0     1     1    14
 -1.6529468017159623E+00 a        15     0     1     1    15
 -1.1038585244399179E+01 a        16     0     1     1    16
  1.0124640203297398E+02 a        17     0     1     1    17
  1.4986814359928307E+00 a        18     0     1     1    18
  1.7626422778453414E+01 a        19     0     1     1    19
  2.8046723344269671E+00 a        20     0     1     1    20
  1.1057141027700720E+01 a        21     0     1     1    21
  5.7759353567988878E+00 a        22     0     1     1    22
  1.3541652093958007E+01 a        23     0     1     1    23
 -8.2215242770228315E+01 a        24     0     1     1    24
  4.3535083890511785E+01 a        25     0     1     1    25
  8.4304384503258078E+01 a        26     0     1     1    26
  4.9214728807752124E+01 a        27     0     1     1    27
  1.4220852726556508E+01 a        28     0     1     1    28
 -3.4779196655949489E+00 a        29     0     1     1    29
 -4.9378290963300673E+00 a        30     0     1     1    30
 -4.0933396180451709E+01 a        31     0     1     1    31
 -4.5843887494646030E+00 a        32     0     1     1    32
 -6.2069074903185752E+00 a        33     0     1     1    33
  2.7445694768195345E+01 a        34     0     1     1    34
  2.5039948744730410E+01 a        35     0     1     1    35
 -9.7109430197676661E-01 a        36     0     1     1    36
 -1.5281447503786509E+01 a        37     0     1     1    37
  3.1170464373627459E+02 a        38     0     1     1    38
 -2.6763781617413944E+01 a        39     0     1     1    39
  2.0236141929764095E+01 a        40     0     1     1    40
  9.5543025580142128E+01 a        41     0     1     1    41
  1.1171978340139877E+02 a        42     0     1     1    42
  2.7762762502918141E+00 a        43     0     1     1    43
  9.9125985550115843E+00 a        44     0     1     1    44
 -2.8092838568061048E+01 a        45     0     1     1    45
 -5.6796372234237733E+00 a        46     0     1     1    46
  1.3158914273050297E+00 a        47     0     1     1    47
  5.5698426703094039E+00 a        48     0     1     1    48
 -8.1747457553257130E-01 a        49     0     1     1    49
 -9.6867781597374627E+00 a        50     0     1     1    50
 -6.8466014992748285E+01 a        51     0     2     1     1
 -1.4356540065435276E+01 a        52     0     2     1     2
 -6.0420620973504944E+00 a        53     0     2     1     3
  1.7817343455674205E+01 a        54     0     2     1     4
  1.8773340854128161E+01 a        55     0     2     1     5
 -1.2832492075744715E+00 a        56     0     2     1     6
 -1.1296066066241320E+01 a        57     0     2     1     7
  2.2063068878847258E+00 a        58     0     2     1     8
  9.0772109094641049E+00 a        59     0     2     1     9
 -5.0669396926777495E+01 a        60     0     2     1    10
  1.7775247843952364E+01 a        61     0     2     1    11
 -8.2536203593151605E+00 a        62     0     2     1    12
  1.0279586610232549E+01 a        63     0     2     1    13
  2.9451867297232141E+01 a        64     0     2     1    14
 -1.0667612485614821E+00 a        65     0     2     1    15
 -1.0015520434184747E+01 a        66     0     2     1    16
  8.5937587118273100E+01 a        67     0     2     1    17
  4.0644785935048073E+00 a        68     0     2     1    18
  1.7593011927513249E+01 a        69     0     2     1    19
  4.6787125776608613E+00 a        70     0     2     1    20
  1.0975718570288702E+01 a        71     0     2     1    21
  7.0646441903680968E+00 a        72     0     2     1    22
  1.0829547565554078E+01 a        73     0     2     1    23
 -8.0916286113784352E+01 a        74     0     2     1    24
  3.7545436669178194E+01 a        75     0     2     1    25
  7.3031002882533130E+01 a        76     0     2     1    26
  4.3394882519989039E+01 a        77     0     2     1    27
  1.2076252851110498E+01 a        78     0     2     1    28
 -3.7123231355576540E+00 a        79     0     2     1    29
 -5.7560017493427074E+00 a        80     0     2     1    30
 -3.6035679730222512E+01 a        81     0     2     1    31
  6.1392542358869338E-02 a        82     0     2     1    32
  5.1079958745507548E-01 a        83     0     2     1    33
  2.2365121965678920E+01 a        84     0     2     1    34
  2.5492909922204753E+01 a        85     0     2     1    35
 -5.5168553880168467E+00 a        86     0     2     1    36
 -1.6104790337142969E+01 a        87     0     2     1    37
  2.8323669214568713E+02 a        88     0     2     1    38
 -2.6421385109773571E+01 a        89     0     2     1    39
  2.1981349483771286E+01 a        90     0     2     1    40
  8.5816991990413314E+01 a        91     0     2     1    41
  9.9366954385961265E+01 a        92     0     2     1    42
  3.3910972472311971E+00 a        93     0     2     1    43
  9.4743311650465571E+00 a        94     0     2     1    44
 -2.9398368498151228E+01 a        95     0     2     1    45
 -1.0059483456945658E+01 a        96     0     2     1    46
  4.7976835689316696E-02 a        97     0     2     1    47
  5.0589683498064524E+00 a        98     0     2     1    48
  2.9747232634139213E+00 a        99     0     2     1    49
 -1.0924649981915749E+01 a       100     0     2     1    50
 -2.9021170086206542E+01 a       101     0     3     1     1
 -2.5582643512005145E+01 a       102     0     3     1     2
 -1.4642986030229610E-01 a       103     0     3     1     3
  1.7050166750590996E+01 a       104     0     3     1     4
 -7.5937737509038357E+00 a       105     0     3     1     5
  1.5945149502167297E+00 a       106     0     3     1     6
 -5.3281061390852731E+00 a       107     0     3     1     7
 -6.7357989888187770E+00 a       108     0     3     1     8
  2.3666338809250607E+00 a       109     0     3     1     9
 -5.4374259147863000E+01 a       110     0     3     1    10
  4.5018869335181240E+00 a       111     0     3     1    11
 -6.3348954449904618E+00 a       112     0     3     1    12
  5.1140844915115098E+00 a       113     0     3     1    13
 -2.3586544527782957E-01 a       114     0     3     1    14
 -2.8244133443528252E+00 a       115     0     3     1    15
 -1.4041244108571338E+01 a       116     0     3     1    16
  1.1451677339063218E+02 a       117     0     3     1    17
 -9.0042859128327457E+00 a       118     0     3     1    18
  1.2812362051240825E+01 a       119     0     3     1    19
 -5.2778711074429134E+00 a       120     0     3     1    20
  6.1439423162755551E+00 a       121     0     3     1    21
 -1.4930134661792998E+00 a       122     0     3     1    22
  1.6820320835942777E+01 a       123     0     3     1    23
 -4.8210064407544493E+01 a       124     0     3     1    24
  4.6063787073553748E+01 a       125     0     3     1    25
  8.9940647842863243E+01 a       126     0     3     1    26
  5.2408769989175092E+01 a       127     0     3     1    27
  1.8027913378991432E+01 a       128     0     3     1    28
 -1.7366632106570945E+00 a       129     0     3     1    29
 -2.0623665335627366E+00 a       130     0     3     1    30
 -3.9845851772546851E+01 a       131     0     3     1    31
 -2.2124270447074402E+01 a       132     0     3     1    32
 -2.9340481796092234E+01 a       133     0     3     1    33
  3.7902757536530025E+01 a       134     0     3     1    34
  1.4043612596062506E+01 a       135     0     3     1    35
  1.7387539542764941E+01 a       136     0     3     1    36
 -6.8923936288282039E+00 a       137     0     3     1    37
  2.8496667606457470E+02 a       138     0     3     1    38
 -1.8382396504280450E+01 a       139     0     3     1    39
  4.7835105898215211E+00 a       140     0     3     1    40
