################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.3136097195343837E+01 a         1     0     1     1     1
 -2.7401382300162069E+00 a         2     0     1     1     2
  8.4278233957536948E+00 a         3     0     1     1     3
  3.1481860944476331E+01 a         4     0     1     1     4
  4.1749547608381015E+01 a         5     0     1     1     5
 -2.5753985827328616E+01 a         6     0     1     1     6
 -8.6697790487538011E+00 a         7     0     1     1     7
  2.3196150324608036E+00 a         8     0     1     1     8
  1.3357362676386348E+00 a         9     0     1     1     9
  1.2863390595687713E+01 a        10     0     1     1    10
  2.3544209165809924E+01 a        11     0     1     1    11
  3.0225703767933680E+01 a        12     0     1     1    12
  5.8649671422890023E+01 a        13     0     1     1    13
  2.5064550516926150E+02 a        14     0     1     1    14
  3.9834893397446031E+01 a        15     0     1     1    15
 -1.3723949360972945E+01 a        16     0     1     1    16
 -1.1393599858549260E+01 a        17     0     1     1    17
 -1.8463132783829439E+00 a        18     0     1     1    18
  1.8510886041245875E+01 a        19     0     1     1    19
  4.9862454702613208E+00 a        20     0     1     1    20
 -3.2562894533985243E+00 a        21     0     1     1    21
 -1.0234309481737833E+01 a        22     0     1     1    22
 -6.9816324132622096E+00 a        23     0     1     1    23
  2.0166317206441429E+00 a        24     0     1     1    24
 -1.0666878546599225E+01 a        25     0     1     1    25
 -1.1445517144404684E+00 a        26     0     1     1    26
  9.6048312766689023E+01 a        27     0     1     1    27
  4.7322531003677156E+01 a        28     0     1     1    28
  1.8978771428873859E+01 a        29     0     1     1    29
 -8.2468177324028133E+01 a        30     0     1     1    30
  6.2624728780976193E+00 a        31     0     1     1    31
 -1.6972972467675682E-01 a        32     0     1     1    32
 -2.7025334114571621E+01 a        33     0     1     1    33
  4.2137250116938446E+01 a        34     0     1     1    34
  3.7001361246962936E+01 a        35     0     1     1    35
 -3.4138327488238973E+00 a        36     0     1     1    36
  2.1665716704959685E+01 a        37     0     1     1    37
 -6.7621045692189785E+00 a        38     0     1     1    38
  3.6632058039537112E+00 a        39     0     1     1    39
  3.9817720038938238E+00 a        40     0     1     1    40
 -6.7244808754942213E+01 a        41     0     1     1    41
 -5.6114325848565469E+00 a        42     0     1     1    42
 -1.1294490498971792E+01 a        43     0     1     1    43
  1.1614175352106077E+01 a        44     0     1     1    44
  4.3176684535429786E+00 a        45     0     1     1    45
 -1.5710243730251227E+01 a        46     0     1     1    46
  2.9420262346308899E+01 a        47     0     1     1    47
 -8.5825766495153317E+00 a        48     0     1     1    48
  7.6033140508830584E+01 a        49     0     1     1    49
  1.3560497841727120E+01 a        50     0     1     1    50
  1.5545899405278531E+01 a        51     0     2     1     1
 -3.1740468470039480E+00 a        52     0     2     1     2
  1.2353372316095388E+01 a        53     0     2     1     3
  2.8142272063177082E+01 a        54     0     2     1     4
  3.2127948053398036E+01 a        55     0     2     1     5
 -4.3368746386597998E+01 a        56     0     2     1     6
 -1.0722006225343209E+01 a        57     0     2     1     7
  7.9869192987107429E-01 a        58     0     2     1     8
  3.0415330801397786E+00 a        59     0     2     1     9
  1.4114386343789592E+01 a        60     0     2     1    10
  2.3208950089054095E+01 a        61     0     2     1    11
  3.3206217556269173E+01 a        62     0     2     1    12
  5.1364381541475105E+01 a        63     0     2     1    13
  2.1132833965123052E+02 a        64     0     2     1    14
  3.2320215168441202E+01 a        65     0     2     1    15
 -1.4452116096007888E+01 a        66     0     2     1    16
 -8.4144400131052706E+00 a        67     0     2     1    17
 -3.3295422297188302E+00 a        68     0     2     1    18
  1.8010325531224339E+01 a        69     0     2     1    19
  4.2755731381197144E+00 a        70     0     2     1    20
  3.4035926748227405E+00 a        71     0     2     1    21
 -1.2307710946992017E+01 a        72     0     2     1    22
 -8.5496316614839181E+00 a        73     0     2     1    23
  3.7215654809103262E+00 a        74     0     2     1    24
 -1.0188804322254034E+01 a        75     0     2     1    25
 -9.1792555151959454E-01 a        76     0     2     1    26
  8.0973678608209212E+01 a        77     0     2     1    27
  3.4458853030816321E+01 a        78     0     2     1    28
  2.2964166978777964E+01 a        79     0     2     1    29
 -7.3513694558687988E+01 a        80     0     2     1    30
  7.7706952048019229E+00 a        81     0     2     1    31
 -4.6343000945175081E+00 a        82     0     2     1    32
 -2.8078161758866319E+01 a        83     0     2     1    33
  3.6869947856480664E+01 a        84     0     2     1    34
  3.6588398609734696E+01 a        85     0     2     1    35
 -4.2243829104274848E+00 a        86     0     2     1    36
  2.1209068624209916E+01 a        87     0     2     1    37
 -7.9748760817642550E+00 a        88     0     2     1    38
 -6.7816903317992583E-01 a        89     0     2     1    39
  4.6825653707326254E+00 a        90     0     2     1    40
 -5.6844949589388250E+01 a        91     0     2     1    41
 -5.8297663394924690E+00 a        92     0     2     1    42
 -6.9768971442412946E+00 a        93     0     2     1    43
  1.4093481625461267E+01 a        94     0     2     1    44
  5.7007316558762682E+00 a        95     0     2     1    45
 -1.4253508390299544E+01 a        96     0     2     1    46
  3.4647086870564308E+01 a        97     0     2     1    47
 -3.5004784515996699E+00 a        98     0     2     1    48
  7.4681538747400779E+01 a        99     0     2     1    49
  1.4493251671404476E+01 a       100     0     2     1    50
 -1.1431975251917135E+00 a       101     0     3     1     1
  5.2738735961570649E-01 a       102     0     3     1     2
 -1.0260225299562386E+01 a       103     0     3     1     3
  2.8915751959028164E+01 a       104     0     3     1     4
  6.2782401556194522E+01 a       105     0     3     1     5
  5.2359609837328925E+01 a       106     0     3     1     6
  3.8830414966008524E+00 a       107     0     3     1     7
  5.2264391234363190E+00 a       108     0     3     1     8
 -3.7045810139415516E+00 a       109     0     3     1     9
  2.9703649140020982E-01 a       110     0     3     1    10
  1.3877552168868712E+01 a       111     0     3     1    11
  5.2493993625174724E+00 a       112     0     3     1    12
  6.1758124509332802E+01 a       113     0     3     1    13
  2.9612514944002584E+02 a       114     0     3     1    14
  5.1240641274918843E+01 a       115     0     3     1    15
 -4.6772329685129614E+00 a       116     0     3     1    16
 -1.6704342389638413E+01 a       117     0     3     1    17
  6.0861475418590265E+00 a       118     0     3     1    18
